split,selection_id,operation,sample_id,video_id,target,random,n_random
special,key.T.p20.block3,global_keep,03,03,0.8975632259001335,0.9348446061514193,27
special,key.T.p20.block3,conditional_keep,03,03,0.8728218122075001,0.9247080307255532,27
special,key.T.p20.word,delete,03,03,0.10121831980844338,0.031271087762434036,50
special,key.T.p20.word,global_keep,03,03,0.9893935465564331,0.9307205795931318,50
special,key.T.p20.word,conditional_keep,03,03,0.9915091625104347,0.9168898580952858,50
special,key.A.p10.point,delete,03,03,0.0019448293993870416,0.001611891152958075,50
special,key.A.p20.point,delete,03,03,0.0034810819973548255,0.0031083563839395837,50
special,key.A.p20.point,global_keep,03,03,0.8544134652862946,0.8585164144883554,50
special,key.A.p20.point,conditional_keep,03,03,0.9902547403859595,0.9886118618616213,50
special,key.A.p30.point,delete,03,03,0.006280426556865374,0.004570350497961045,50
special,key.A.p20.block3,delete,03,03,0.007897273326913515,0.0039805447948830465,7
special,key.A.p20.block3,global_keep,03,03,0.8617066821704308,0.856739405409566,7
special,key.A.p20.block3,conditional_keep,03,03,0.9847620002304515,0.9843429805533518,7
special,key.V.p10.point,delete,03,03,0.0025727072109778724,0.0008570077518622079,50
special,key.V.p20.point,delete,03,03,0.0031635543952385583,0.0014977770422895747,50
special,key.V.p20.point,global_keep,03,03,0.829432463273406,0.8294640945146483,50
special,key.V.p20.point,conditional_keep,03,03,0.9888158170506358,0.9944866810025026,50
special,key.V.p30.point,delete,03,03,0.003967888032396635,0.0023963293309013046,50
special,key.V.p20.block3,delete,03,03,0.004176275804638863,0.001665352089774041,7
special,key.V.p20.block3,global_keep,03,03,0.8267405908554792,0.8320576813781546,7
special,key.V.p20.block3,conditional_keep,03,03,0.9844766821091374,0.9938077758110706,7
special,key.J.p10.joint,delete,03,03,0.03577845077961683,0.018449370589417716,50
special,key.J.p20.joint,delete,03,03,0.05410919400552909,0.02231022543623112,50
special,key.J.p20.joint,global_keep,03,03,0.9252160325025519,0.9308308119978758,50
special,key.J.p20.joint,conditional_keep,03,03,0.9252160325025519,0.9308308119978758,50
special,key.J.p30.joint,delete,03,03,0.08302519160012405,0.02737403304801168,50
special,key.U.p20.union,global_keep,03,03,0.9404773116111755,0.927277565676098,50
special,key.T.p10.point,delete,04,04,0.11864960193634033,0.050504843021432565,50
special,key.T.p20.point,delete,04,04,0.13341060280799866,0.05977601369222005,50
special,key.T.p20.point,global_keep,04,04,0.5281504690647125,0.7208306252568338,50
special,key.T.p20.point,conditional_keep,04,04,0.6789232014367979,0.8662764617552361,50
special,key.T.p30.point,delete,04,04,0.09240579605102539,0.07613742281372347,50
special,key.T.p20.block3,delete,04,04,0.07747423648834229,0.03283807304170396,6
special,key.T.p20.block3,global_keep,04,04,0.5192400390903155,0.7704320601705047,6
special,key.T.p20.block3,conditional_keep,04,04,0.667336489384373,0.9394682173927625,6
special,key.T.p20.word,delete,04,04,0.11981677015622458,0.04100215613842011,50
special,key.T.p20.word,global_keep,04,04,0.5065375777582327,0.7358149147204434,50
special,key.T.p20.word,conditional_keep,04,04,0.6261880869666736,0.8978350546304138,50
special,key.A.p10.point,delete,04,04,0.0015096763769785564,0.0014252779881159465,50
special,key.A.p20.point,delete,04,04,0.002754807472229004,0.0022933201988538108,50
special,key.A.p20.point,global_keep,04,04,0.737050112336874,0.7347093559056519,50
special,key.A.p20.point,conditional_keep,04,04,0.9911539355913798,0.9902681699395182,50
special,key.A.p30.point,delete,04,04,0.00535254180431366,0.004105731844902038,50
