sample_id,video_id,input_status,duration,spoken_words,accepted_words,aligned_word_fraction,low_score_word_fraction,unlocated_word_count,diagnostic_wer,pairing_status,paired_use,vision_successful_candidates,vision_episode_count,vision_eligible_rows,vision_eligible_fraction,automatic_check_status,automatic_issue_count
-UuX1xuaiiE$_$3,-UuX1xuaiiE,ok,4.1,9,9,1.0,0.0,0,0.4444444444444444,unverifiable,0,111,3,0,0.0,completed,2
-UuX1xuaiiE$_$6,-UuX1xuaiiE,ok,8.1,22,22,1.0,0.0,0,0.45454545454545453,unverifiable,0,197,2,0,0.0,completed,2
-a55Q6RWvTA$_$3,-a55Q6RWvTA,ok,22.133333333333333,65,65,1.0,0.0,0,0.15384615384615385,no_issue_detected,1,554,1,554,1.0,completed,0
-aNfi7CP8vM$_$7,-aNfi7CP8vM,ok,8.666666666666666,18,18,1.0,0.0,0,0.3888888888888889,no_issue_detected,1,215,1,215,1.0,completed,0
-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,ok,11.0,14,13,0.9285714285714286,0.07142857142857142,1,1.0714285714285714,unverifiable,0,274,1,274,1.0,completed,2
-dxfTGcXJoc$_$0,-dxfTGcXJoc,ok,20.53333333333333,40,40,1.0,0.0,0,0.35555555555555557,no_issue_detected,1,400,1,400,0.7797270955165692,completed,0
-dxfTGcXJoc$_$1,-dxfTGcXJoc,ok,16.133333333333333,36,36,1.0,0.0,0,0.08333333333333333,unverifiable,0,403,2,0,0.0,completed,2
-dxfTGcXJoc$_$2,-dxfTGcXJoc,ok,16.666666666666664,34,34,1.0,0.0,0,0.08571428571428572,no_issue_detected,1,417,1,417,1.0,completed,0
-dxfTGcXJoc$_$6,-dxfTGcXJoc,ok,12.733333333333333,27,27,1.0,0.0,0,0.10714285714285714,unverifiable,0,317,2,0,0.0,completed,2
-egA8-b7-3M$_$1,-egA8-b7-3M,ok,10.233333333333333,20,20,1.0,0.0,0,0.46153846153846156,no_issue_detected,1,256,1,256,1.0,completed,0
-egA8-b7-3M$_$13,-egA8-b7-3M,ok,4.166666666666666,11,11,1.0,0.0,0,0.09090909090909091,no_issue_detected,1,103,1,103,1.0,completed,0
-egA8-b7-3M$_$16,-egA8-b7-3M,ok,5.533333333333333,11,11,1.0,0.0,0,0.0,no_issue_detected,1,139,1,139,1.0,completed,0
-egA8-b7-3M$_$17,-egA8-b7-3M,ok,7.266666666666667,16,16,1.0,0.0,0,0.0,no_issue_detected,1,180,1,180,1.0,completed,0
-egA8-b7-3M$_$18,-egA8-b7-3M,ok,8.366666666666667,22,22,1.0,0.0,0,0.0,no_issue_detected,1,209,1,209,1.0,completed,0
-egA8-b7-3M$_$20,-egA8-b7-3M,ok,6.633333333333333,20,20,1.0,0.0,0,0.0,no_issue_detected,1,164,1,164,1.0,completed,0
-egA8-b7-3M$_$26,-egA8-b7-3M,ok,6.0,15,15,1.0,0.0,0,0.2,no_issue_detected,1,149,1,143,0.959731543624161,completed,0
-egA8-b7-3M$_$6,-egA8-b7-3M,ok,6.233333333333333,12,12,1.0,0.0,0,0.08333333333333333,no_issue_detected,1,156,1,156,1.0,completed,0
-egA8-b7-3M$_$9,-egA8-b7-3M,ok,5.066666666666666,10,10,1.0,0.0,0,0.0,no_issue_detected,1,125,1,125,1.0,completed,0
-hnBHBN8p5A$_$6,-hnBHBN8p5A,ok,6.381377777777778,13,10,0.7692307692307693,0.23076923076923078,3,0.9230769230769231,unverifiable,0,74,7,0,0.0,completed,6
-hnBHBN8p5A$_$7,-hnBHBN8p5A,ok,7.3406666666666665,13,9,0.6923076923076923,0.3076923076923077,4,1.2307692307692308,unverifiable,0,97,7,0,0.0,completed,6
-iRBcNs9oI8$_$3,-iRBcNs9oI8,ok,5.605600000000001,8,7,0.875,0.125,1,1.75,unverifiable,0,140,1,136,0.9714285714285714,completed,2
-iRBcNs9oI8$_$6,-iRBcNs9oI8,ok,2.8695333333333335,5,3,0.6,0.4,2,1.8,unverifiable,0,72,1,72,1.0,completed,4
