sample_index,sample_id,video_id,diagnostic_wer,aligned_word_fraction,whisperx_wer,wer_percentile,unaligned_percentile,whisperx_wer_percentile,risk_score,risk_components,existing_ctc_alert,auxiliary_complete
56,-iRBcNs9oI8$_$6,-iRBcNs9oI8,1.8,0.6,,0.98989898989899,0.9141414141414141,,0.952020202020202,2,True,False
71,-ri04Z7vwnc$_$5,-ri04Z7vwnc,1.875,0.625,,1.0,0.8939393939393939,,0.946969696969697,2,True,False
64,-mJ2ud6oKI8$_$6,-mJ2ud6oKI8,1.4,0.6,,0.9696969696969697,0.9141414141414141,,0.9419191919191919,2,True,False
98,-yRb-Jum7EQ$_$5,-yRb-Jum7EQ,1.2,0.36,,0.9090909090909091,0.9696969696969697,,0.9393939393939394,2,True,False
57,-iRBcNs9oI8$_$7,-iRBcNs9oI8,1.2222222222222223,0.5555555555555556,,0.9292929292929293,0.9292929292929293,,0.9292929292929293,2,True,False
66,-mJ2ud6oKI8$_$9,-mJ2ud6oKI8,1.0909090909090908,0.5454545454545454,,0.898989898989899,0.9393939393939394,,0.9191919191919192,2,True,False
58,-iRBcNs9oI8$_$8,-iRBcNs9oI8,1.0476190476190477,0.47619047619047616,,0.8787878787878788,0.9595959595959596,,0.9191919191919191,2,True,False
62,-mJ2ud6oKI8$_$1,-mJ2ud6oKI8,1.0,0.23076923076923078,,0.8383838383838383,1.0,,0.9191919191919191,2,True,False
63,-mJ2ud6oKI8$_$2,-mJ2ud6oKI8,1.0,0.2727272727272727,,0.8383838383838383,0.98989898989899,,0.9141414141414141,2,True,False
54,-hnBHBN8p5A$_$7,-hnBHBN8p5A,1.2307692307692308,0.6923076923076923,,0.9393939393939394,0.8787878787878788,,0.9090909090909092,2,True,False
22,-NFrJFQijFE$_$1,-NFrJFQijFE,1.0,0.3125,,0.8383838383838383,0.9797979797979798,,0.9090909090909091,2,True,False
65,-mJ2ud6oKI8$_$8,-mJ2ud6oKI8,1.2727272727272727,0.7272727272727273,,0.9595959595959596,0.8585858585858586,,0.9090909090909091,2,True,False
99,-yRb-Jum7EQ$_$6,-yRb-Jum7EQ,1.263157894736842,0.7368421052631579,,0.9494949494949495,0.8484848484848485,,0.898989898989899,2,True,False
23,-NFrJFQijFE$_$2,-NFrJFQijFE,1.0,0.5,,0.8383838383838383,0.9494949494949495,,0.8939393939393939,2,True,False
55,-iRBcNs9oI8$_$3,-iRBcNs9oI8,1.75,0.875,,0.9797979797979798,0.797979797979798,,0.8888888888888888,2,True,False
97,-yRb-Jum7EQ$_$1,-yRb-Jum7EQ,1.2040816326530612,0.7959183673469388,,0.9191919191919192,0.8181818181818182,,0.8686868686868687,2,True,False
70,-ri04Z7vwnc$_$2,-ri04Z7vwnc,1.0,0.625,,0.8383838383838383,0.8939393939393939,,0.8661616161616161,2,True,False
69,-ri04Z7vwnc$_$0,-ri04Z7vwnc,1.0,0.75,,0.8383838383838383,0.8383838383838383,,0.8383838383838383,2,True,False
39,-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,1.0714285714285714,0.9285714285714286,,0.8888888888888888,0.7777777777777778,,0.8333333333333333,2,True,False
53,-hnBHBN8p5A$_$6,-hnBHBN8p5A,0.9230769230769231,0.7692307692307693,,0.797979797979798,0.8282828282828283,,0.8131313131313131,2,True,False
13,-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,0.42857142857142855,0.7142857142857143,,0.6565656565656566,0.8686868686868687,,0.7626262626262627,2,True,False
