sample_id,position,token,modality,D,delta_class,selected
14,1,he,T,0.00468045969804128,-0.009250164031982422,False
14,1,he,A,0.0005826801061630249,0.0010971426963806152,False
14,1,he,V,0.0003578762213389079,-0.0006175637245178223,False
14,2,is,T,0.013443941871325174,0.025840461254119873,True
14,2,is,A,0.0018562575181325276,0.0029969215393066406,False
14,2,is,V,0.0006066858768463135,-0.0008859038352966309,False
14,3,the,T,0.005841155846913655,0.00930720567703247,True
14,3,the,A,0.0019961645205815635,0.0029965639114379883,False
14,3,the,V,0.0012201021114985149,-0.0017070174217224121,True
14,4,co,T,0.0017872105042139688,0.002075493335723877,False
14,4,co,A,0.0031604220469792685,0.0046561360359191895,True
14,4,co,V,0.0013905614614486694,-0.0018785595893859863,True
14,5,-,T,0.005229517817497253,-0.007555663585662842,False
14,5,-,A,0.0031604220469792685,0.0046561360359191895,True
14,5,-,V,0.0013905614614486694,-0.0018785595893859863,True
14,6,founder,T,0.011051028966903687,0.01749962568283081,False
14,6,founder,A,0.0031604220469792685,0.0046561360359191895,True
14,6,founder,V,0.0013905614614486694,-0.0018785595893859863,True
14,7,of,T,0.007973854740460714,-0.010013699531555176,False
14,7,of,A,0.002545913060506185,0.004172325134277344,True
14,7,of,V,0.0012465169032414756,-0.0014092326164245605,True
14,8,ross,T,0.0015054394801457722,-0.0023116469383239746,False
14,8,ross,A,0.0027164022127787275,0.0034688711166381836,True
14,8,ross,V,0.0011430134375890097,-0.0012570619583129883,True
14,9,##en,T,0.0013002604246139526,0.0007702112197875977,False
14,9,##en,A,0.0027164022127787275,0.0034688711166381836,True
14,9,##en,V,0.0011430134375890097,-0.0012570619583129883,True
14,10,and,T,0.003498072425524394,0.003930151462554932,False
14,10,and,A,0.0015784651041030884,0.0014015436172485352,False
14,10,and,V,0.0008306950330734253,-0.0010357499122619629,False
14,11,vet,T,0.0018230179945627847,-0.0024564266204833984,False
14,11,vet,A,0.00043440361817677814,0.0003288388252258301,False
14,11,vet,V,0.0005054473876953125,-0.0007140040397644043,False
14,12,##tes,T,0.002338886260986328,-0.004127204418182373,False
14,12,##tes,A,0.000434453288714091,0.00032895803451538086,False
14,12,##tes,V,0.0005054821570714315,-0.0007140636444091797,False
14,13,##e,T,0.0064925700426101685,0.010385274887084961,False
14,13,##e,A,0.00043443342049916583,0.00032889842987060547,False
14,13,##e,V,0.0005054523547490438,-0.0007140040397644043,False
14,14,limited,T,0.0017007887363433838,-0.001634836196899414,False
14,14,limited,A,0.0005733271439870198,-0.00020253658294677734,False
14,14,limited,V,0.00013152261575063068,0.00013780593872070312,False
14,15,and,T,0.006399482488632202,0.009420633316040039,False
14,15,and,A,0.00106885035832723,-0.0004852414131164551,False
14,15,and,V,0.00041760504245758057,0.0006704330444335938,False
14,16,the,T,0.001349911093711853,-0.001652836799621582,False
14,16,the,A,0.00067920982837677,0.0004930496215820312,False
14,16,the,V,0.0004843225081761678,0.0007509589195251465,False
14,17,former,T,0.012766634424527487,-0.021044015884399414,True
14,17,former,A,0.0010316620270411172,0.0007453560829162598,False
14,17,former,V,0.0005618979533513387,0.0008642077445983887,False
14,18,executive,T,0.0074335187673568726,-0.012360930442810059,True
14,18,executive,A,0.0007588714361190796,0.0009375810623168945,False
14,18,executive,V,0.0007753024498621622,0.0010817646980285645,False
14,19,director,T,0.008524035414059957,-0.014505088329315186,True
14,19,director,A,0.000627492864926656,-0.0007416605949401855,False
14,19,director,V,0.0006178667147954305,0.0009232163429260254,False
14,20,of,T,0.005962143341700235,-0.007758140563964844,True
14,20,of,A,0.0027832835912704468,-0.0038412809371948242,True
14,20,of,V,0.0006272345781326294,0.0009047389030456543,False
14,21,uniform,T,0.004115059971809387,0.00799483060836792,False
14,21,uniform,A,0.0008201301097869873,-0.001228034496307373,False
14,21,uniform,V,0.00028281410535176593,0.0003598928451538086,False
14,22,final,T,0.005894973874092102,0.008147001266479492,False
14,22,final,A,8.337199687957764e-05,-5.1975250244140625e-05,False
14,22,final,V,0.00016333659489949542,0.00018227100372314453,False
14,23,examination,T,0.008340259393056234,-0.012885808944702148,False
14,23,examination,A,0.0010642955700556438,-0.0017706751823425293,False
14,23,examination,V,6.398558616638184e-05,1.52587890625e-05,False
14,24,(,T,0.0017419407765070596,0.0017802715301513672,False
14,24,(,A,0.001673107345898946,-0.002830684185028076,False
14,24,(,V,0.0002541889746983846,0.0003026723861694336,False
14,25,u,T,0.0007243851820627848,-0.001406550407409668,False
14,25,u,A,0.0016731669505437214,-0.002830803394317627,False
14,25,u,V,0.0002541591723759969,0.0003026127815246582,False
14,26,##fe,T,0.0016767928997675579,0.0026288628578186035,False
14,26,##fe,A,0.0016731371482213337,-0.0028307437896728516,False
14,26,##fe,V,0.0002541889746983846,0.0003026723861694336,False
14,27,),T,0.001719936728477478,0.0021599531173706055,False
14,27,),A,0.001673107345898946,-0.002830684185028076,False
14,27,),V,0.0002541591723759969,0.0003026127815246582,False
14,28,courses,T,0.01887287199497223,0.02933526039123535,True
14,28,courses,A,0.001797214150428772,-0.0026534199714660645,False
14,28,courses,V,0.00026552875836690265,0.0003261566162109375,False
14,29,at,T,0.0026742368936538696,0.004410982131958008,False
14,29,at,A,0.0027103076378504434,-0.003712177276611328,False
14,29,at,V,0.00027595460414886475,0.00036066770553588867,False
14,30,toronto,T,0.005778933564821879,0.010119438171386719,False
14,30,toronto,A,0.001094132661819458,-0.0018973946571350098,False
14,30,toronto,V,0.0011151631673177083,0.0014503002166748047,False
14,31,',T,0.0016980171203613281,-0.002198457717895508,False
14,31,',A,0.0010941276947657268,-0.0018973946571350098,False
14,31,',V,0.0011151681343714397,0.0014503002166748047,False
14,32,s,T,0.0008775840202967325,-0.0006019473075866699,False
14,32,s,A,0.0010941276947657268,-0.0018973946571350098,False
14,32,s,V,0.0011151631673177083,0.0014503002166748047,False
14,33,york,T,0.0034686625003814697,-0.005656063556671143,False
14,33,york,A,0.0009839534759521484,-0.0018364191055297852,False
14,33,york,V,0.0010600437720616658,0.0013143420219421387,False
14,34,university,T,0.0028869062662124634,-0.0043738484382629395,False
14,34,university,A,0.0010391026735305786,-0.001336812973022461,False
14,34,university,V,0.001111323634783427,0.0013860464096069336,False
14,35,.,T,0.004054332772890727,0.0070531368255615234,False
14,35,.,A,0.0010391126076380413,-0.001336812973022461,False
14,35,.,V,0.001111323634783427,0.0013860464096069336,False
