sample_id,modality,D,phi_class,phi_score_raw,observed
01,T,0.29537508140007657,0.330726017554601,0.8838435113430022,22
01,A,0.02471330761909485,-0.03505926827589671,-0.024221405386924764,22
01,V,0.021205355723698933,-0.060240919391314186,-0.2781669944524765,22
02,T,0.12934163212776184,0.18743235369523364,0.34480974947412807,19
02,A,0.07920093834400177,0.11823414762814838,-0.27433984602491057,19
02,V,0.0952845507611831,0.1307537903388341,-0.37959479043881095,19
03,T,0.1688157661507527,0.28883091608683265,0.31029502799113595,33
03,A,0.015778989220658936,0.03100205461184184,0.048635018368562065,33
03,V,0.020819570248325665,0.0196135143438975,-0.2639666820565859,33
04,T,0.14780369400978088,0.1626524378856023,0.4339086723824342,26
04,A,0.09477148453394571,0.08343315621217091,0.274306816359361,26
04,V,0.10181726515293121,0.08487944801648457,0.33164726321895915,26
05,T,0.20753695939977962,0.21000428994496662,0.6816185886661212,15
05,A,0.04664831360181173,0.00368905564149221,-0.004408878584702796,15
05,V,0.05904911458492279,0.05621776481469472,0.0075922856728235805,15
06,T,0.36645325149099034,0.4526076018810272,1.0608989211420217,35
06,A,0.028442740440368652,-0.040744438767433167,0.12140336136023203,35
06,V,0.014566232760747273,-0.08898253738880157,-0.15578965966900182,35
07,T,0.34295430531104404,0.4068740904331207,1.0471352885166803,48
07,A,0.022132039070129395,-0.04631182551383972,0.007050136725107823,48
07,V,0.023728668689727783,-0.017283618450164795,-0.07260975738366446,48
08,T,0.3656459301710129,0.42037656903266907,1.193669433395068,11
08,A,0.015481963753700256,-0.05390731990337371,-0.0704624702533086,11
08,V,0.03921204308668773,-0.10687987506389617,-0.24731283386548364,11
09,T,0.44519685953855515,0.6181296706199646,-1.717898902793725,18
09,A,0.012332628170649212,0.014738067984580992,-0.10330950220425922,18
09,V,0.027744323015213013,0.03797625005245209,-0.31392009307940805,18
10,T,0.4712066017091274,0.6360725611448288,-1.6687112500270207,30
10,A,0.005539457003275554,0.006828546524047851,0.010895612339178684,30
10,V,0.020537217458089195,0.020713195204734802,-0.19030171384414038,30
11,T,0.38436105847358704,0.5435504068930943,-1.504415914416313,14
11,A,0.03405344486236572,0.06158990164597829,-0.24835376441478726,14
11,V,0.01926255226135254,0.05353330572446187,-0.09307292103767394,14
12,T,0.29549507796764374,0.4788593053817749,-0.8687998428940773,42
12,A,0.03216060996055603,0.05724212527275085,-0.11670874059200287,42
12,V,0.036587407191594444,0.07370263338088988,-0.3013872876763344,42
13,T,0.16570798804362616,0.2822232395410537,0.3425064161419868,30
13,A,0.020275770376125973,0.06496368348598479,-0.09912285953760146,30
13,V,0.0,0.0,0.0,0
14,T,0.07835416744152704,0.019622638821601868,0.37020039310057956,35
14,A,0.05051128566265106,0.012503758072853092,0.08735083540280661,35
14,V,0.1115286151568095,0.11528810858726501,0.09386236717303595,35
15,T,0.252552109460036,0.4031848361094792,-0.5051819855968157,21
15,A,0.03141961495081584,-0.02804469565550486,0.10530987878640494,21
15,V,0.012096946438153585,0.021874626477559406,-0.1084477479259173,21
16,T,0.41169869154691696,0.5859974324703217,-1.5724792182445526,11
16,A,0.012727250655492147,0.02816656231880188,-0.09515847265720372,11
16,V,0.014976948499679565,0.044825464487075806,-0.14966572821140287,11
17,T,0.3606429932018121,0.45646637181440985,1.2020067249735196,24
17,A,0.024710064133008323,-0.02913567920525868,0.05184611429770786,24
17,V,0.02168738842010498,-0.02245201667149862,-0.1385818670193354,24
18,T,0.17538462455073991,0.31179796159267426,0.23107471937934557,48
18,A,0.02899184823036194,-0.0209629088640213,-0.06463773672779402,48
18,V,0.03611166961491108,0.05206891894340515,-0.3543677007158597,48
19,T,0.2029183485234777,0.3468657881021499,-0.3300867949922879,39
19,A,0.018195495009422302,0.033492520451545715,-0.04256960315008958,39
19,V,0.0062292640407880144,0.014740943908691406,0.059467070425550134,39
20,T,0.22623847719902793,0.2517389953136444,0.54195572125415,43
20,A,0.046196152766545616,-0.008826792240142819,0.016247944595913104,43
20,V,0.08353263139724731,0.06713917851448059,0.13184884345779818,43
