trial,seed,checkpoint,epoch,lr,omega_count,total,task_clean,task_corrupt,msd,span,calibration,consistency,missing_macro_f1,missing_mae,clean_macro_f1,clean_mae,unimodal
attn_bert8_all_seed1113_v1,1113,experiments/attn_bert8_all_seed1113_v1/runs/late_attn_tune/seed_1113/best.pt,5,9.397114317029977e-05,0,2.1613555032516194,1.040896507067101,1.1204589939563074,0.0,0.0,0.0,0.0,0.5388220135716584,0.6692578227590471,0.5570991699432066,0.6465696808773318,
attn_bert8_all_seed1113_v1,1113,experiments/attn_bert8_all_seed1113_v1/runs/late_attn_tune/seed_1113/best.pt,6,8.947199994035401e-05,0,2.0703847129768302,0.9997821483656624,1.0706025640541148,0.0,0.0,0.0,0.0,,,,,
attn_bert8_all_seed1113_v1,1113,experiments/attn_bert8_all_seed1113_v1/runs/late_attn_tune/seed_1113/best.pt,7,8.392544243589427e-05,0,1.9750777783794935,0.9568044704811596,1.0182733117977036,0.0,0.0,0.0,0.0,,,,,
attn_bert8_all_seed1113_v1,1113,experiments/attn_bert8_all_seed1113_v1/runs/late_attn_tune/seed_1113/best.pt,8,7.75e-05,0,1.933133848359652,0.9188586958100864,1.01427515143546,0.0,0.0,0.0,0.0,,,,,
attn_bert8_all_seed1113_v1,1113,experiments/attn_bert8_all_seed1113_v1/runs/late_attn_tune/seed_1113/best.pt,9,7.03909064496551e-05,0,1.8378781141521772,0.8763329648525915,0.9615451520848496,0.0,0.0,0.0,0.0,,,,,
attn_bert8_all_seed1113_v1,1113,experiments/attn_bert8_all_seed1113_v1/runs/late_attn_tune/seed_1113/best.pt,10,6.281416799501188e-05,0,1.8345461370789,0.8650429822574152,0.9695031592779072,0.0,0.0,0.0,0.0,0.5569712605092302,0.6715364719797673,0.5836486800778348,0.6452192620247613,
attn_bert8_all_seed1113_v1,1113,experiments/attn_bert8_all_seed1113_v1/runs/late_attn_tune/seed_1113/best.pt,11,5.5e-05,0,1.7934290326644329,0.8319274771993406,0.9615015498945646,0.0,0.0,0.0,0.0,,,,,
attn_bert8_all_seed1113_v1,1113,experiments/attn_bert8_all_seed1113_v1/runs/late_attn_tune/seed_1113/best.pt,12,4.7185832004988135e-05,0,1.73432512038222,0.8018208288143729,0.9325042940745844,0.0,0.0,0.0,0.0,,,,,
attn_bert8_all_seed1113_v1,1113,experiments/attn_bert8_all_seed1113_v1/runs/late_attn_tune/seed_1113/best.pt,13,3.960909355034492e-05,0,1.698955816364734,0.776846988735912,0.9221088267932428,0.0,0.0,0.0,0.0,,,,,
attn_bert8_all_seed1113_v1,1113,experiments/attn_bert8_all_seed1113_v1/runs/late_attn_tune/seed_1113/best.pt,14,3.250000000000001e-05,0,1.6832786063167535,0.767423580183047,0.9158550266907594,0.0,0.0,0.0,0.0,,,,,
attn_bert8_all_seed1113_v1,1113,experiments/attn_bert8_all_seed1113_v1/runs/late_attn_tune/seed_1113/best.pt,15,2.6074557564105733e-05,0,1.6328990832667485,0.7458634521359595,0.8870356233320503,0.0,0.0,0.0,0.0,0.5526947438487875,0.6677419660932835,0.5831033659500813,0.6394392551258105,
attn_bert8_all_seed1113_v1,1113,experiments/attn_bert8_all_seed1113_v1/runs/late_attn_tune/seed_1113/best.pt,16,2.0528000059646e-05,0,1.6284930104407194,0.7400756124581132,0.8884174016034492,0.0,0.0,0.0,0.0,,,,,
attn_bert8_all_seed1113_v1,1113,experiments/attn_bert8_all_seed1113_v1/runs/late_attn_tune/seed_1113/best.pt,17,1.602885682970027e-05,0,1.606843602434497,0.7202521122504617,0.8865914957545628,0.0,0.0,0.0,0.0,,,,,
attn_bert8_all_seed1113_v1,1113,experiments/attn_bert8_all_seed1113_v1/runs/late_attn_tune/seed_1113/best.pt,18,1.2713832064634127e-05,0,1.5864433495797845,0.7097689732212886,0.8766743738517583,0.0,0.0,0.0,0.0,,,,,
attn_bert8_all_seed1113_v1,1113,experiments/attn_bert8_all_seed1113_v1/runs/late_attn_tune/seed_1113/best.pt,19,1.068365111445064e-05,0,1.578173375575342,0.7099800421812824,0.8681933361793233,0.0,0.0,0.0,0.0,,,,,
attn_bert8_all_seed1113_v1,1113,experiments/attn_bert8_all_seed1113_v1/runs/late_attn_tune/seed_1113/best.pt,20,1e-05,0,1.6033530368983189,0.705689867523229,0.8976631738315118,0.0,0.0,0.0,0.0,0.5506088755239907,0.6687047432395011,0.5825022599940092,0.6415582079700051,
attn_bert8_all_v1,1111,experiments/attn_bert8_all_v1/runs/late_attn_tune/seed_1111/best.pt,1,5e-05,0,1.4787496562316038,1.4787496562316038,0.0,0.0,0.0,0.0,0.0,,,,,
attn_bert8_all_v1,1111,experiments/attn_bert8_all_v1/runs/late_attn_tune/seed_1111/best.pt,2,0.0001,0,1.3493468416071384,1.3493468416071384,0.0,0.0,0.0,0.0,0.0,,,,,
attn_bert8_all_v1,1111,experiments/attn_bert8_all_v1/runs/late_attn_tune/seed_1111/best.pt,3,9.931634888554937e-05,0,2.4719823621143804,1.2193742689685287,1.2526080942599571,0.0,0.0,0.0,0.0,,,,,
attn_bert8_all_v1,1111,experiments/attn_bert8_all_v1/runs/late_attn_tune/seed_1111/best.pt,4,9.728616793536588e-05,0,2.2822348759553144,1.1190840897159042,1.1631507767695133,0.0,0.0,0.0,0.0,,,,,
attn_bert8_all_v1,1111,experiments/attn_bert8_all_v1/runs/late_attn_tune/seed_1111/best.pt,5,9.397114317029977e-05,0,2.150288810239774,1.0469363365217903,1.1033524631339813,0.0,0.0,0.0,0.0,0.5392107176178264,0.652554959059017,0.5497850480847178,0.6256173215441887,
attn_bert8_all_v1,1111,experiments/attn_bert8_all_v1/runs/late_attn_tune/seed_1111/best.pt,6,8.947199994035401e-05,0,2.063997187347056,0.999901462938184,1.0640957271941354,0.0,0.0,0.0,0.0,,,,,
attn_bert8_all_v1,1111,experiments/attn_bert8_all_v1/runs/late_attn_tune/seed_1111/best.pt,7,8.392544243589427e-05,0,1.98988185530511,0.953038701944262,1.036843151132637,0.0,0.0,0.0,0.0,,,,,
attn_bert8_all_v1,1111,experiments/attn_bert8_all_v1/runs/late_attn_tune/seed_1111/best.pt,8,7.75e-05,0,1.9229585868175896,0.918602232064042,1.0043563592099698,0.0,0.0,0.0,0.0,,,,,
