checkpoint,split,class_bias,source,main_scenarios,n,missing_macro_f1,missing_mae,missing_accuracy,missing_weighted_f1,clean_macro_f1,clean_mae,clean_accuracy,clean_weighted_f1,clean_pearson
experiments/attn_gridprob.75_v1/runs/late_attn_tune/seed_1111/best.pt,test,,reports/exploratory/attn_gridprob.75_v1/20260925T065457688152Z/metrics_per_scenario.csv,72,727,0.5685554181845508,0.725627508271898,0.6146263182026593,0.6117456174102991,0.5980779473768941,0.6890157856453246,0.6533700137551581,0.6445582401589875,0.5874921444519227
experiments/attn_gridprob1.0_seed1112_v1/runs/late_attn_tune/seed_1112/best.pt,test,,reports/exploratory/attn_gridprob1.0_seed1112_v1/20260925T071514787651Z/metrics_per_scenario.csv,72,727,0.5647089564580553,0.7266621739095892,0.6142824392480514,0.6093012802801586,0.6056130277249617,0.6950617308710462,0.6602475928473177,0.6500141300707677,0.5899259233802255
experiments/attn_gridprob1.0_seed1113_v1/runs/late_attn_tune/seed_1113/best.pt,test,,reports/exploratory/attn_gridprob1.0_seed1113_v1/20260925T073544888781Z/metrics_per_scenario.csv,72,727,0.5697416365132538,0.7231757767285358,0.6153140761118753,0.6121822497171591,0.6047896075635125,0.6873655639452081,0.657496561210454,0.6489120026771543,0.5854901113858783
experiments/attn_gridprob1.0_v1/runs/late_attn_tune/seed_1111/best.pt,test,,reports/exploratory/attn_gridprob1.0_v1/20260925T065857348743Z/metrics_per_scenario.csv,72,727,0.5696837776770783,0.7256273028280188,0.6157343726119517,0.6128363310967492,0.5992089862246749,0.6892099971570743,0.6547455295735901,0.6459744883697291,0.587410985014229
experiments/attn_pw1_v1/runs/late_attn_tune/seed_1111/best.pt,test,,reports/exploratory/attn_pw1_v1/20260925T045923302284Z/metrics_per_scenario.csv,72,727,0.5590742954090527,0.7329097619906082,0.5892365887207703,0.5944353929626041,0.5838165247646342,0.6966637641504059,0.6272352132049519,0.6260070865510401,0.5875114816544637
experiments/attn_runweight_v1/runs/late_attn_runweight_tune/seed_1111/best.pt,test,,reports/exploratory/attn_runweight_v1/20260925T050023025868Z/metrics_per_scenario.csv,72,727,0.558049635643013,0.7315080594614236,0.6012341433593154,0.6001296039478381,0.5829177616270652,0.6957552035132928,0.6382393397524071,0.6295716763009196,0.585344362829979
experiments/attn_textlr3e5_v1/runs/late_attn_tune/seed_1111/best.pt,test,,reports/exploratory/attn_textlr3e5_v1/20260925T050002981672Z/metrics_per_scenario.csv,72,727,0.5449211669349818,0.7574370532166953,0.5835816903561057,0.5848775177276434,0.5668244582535316,0.7288099349543011,0.6121045392022009,0.6088801696179988,0.5538672654493971
experiments/attn_textstress_v1/runs/late_attn_tune/seed_1111/best.pt,test,,reports/exploratory/attn_textstress_v1/20260925T045943170693Z/metrics_per_scenario.csv,72,727,0.5605163000626194,0.7277014336697725,0.6160591471801925,0.6077639657613056,0.5904735282040187,0.6931663894554423,0.6519944979367263,0.6385306472999907,0.6011034214238222
experiments/attn_video_balanced_v1/runs/late_attn_tune/seed_1111/best.pt,test,,reports/exploratory/attn_video_balanced_v1/20260925T045903279443Z/metrics_per_scenario.csv,72,727,0.5587734500570516,0.7342711748471964,0.5966299862448419,0.5987457644471395,0.5914471480618322,0.6985978078282217,0.6382393397524071,0.6345760774408349,0.5861298762633073
experiments/av_branch_v1/runs/late_av_tune/seed_1111/best.pt,test,,reports/exploratory/av_branch_v1/20260925T050105294826Z/metrics_per_scenario.csv,72,727,0.5574241632757437,0.7280770743075534,0.5990180345407305,0.5990071213150402,0.579909800636064,0.691485938001834,0.6327372764786795,0.6262958114613659,0.5898117683004827
