sample_id,position,token,modality,D,delta_class,selected
07,1,as,T,0.0107126384973526,-0.010911047458648682,True
07,1,as,A,0.00037314991156260174,-0.00013107061386108398,False
07,1,as,V,0.0005527734756469727,-0.0005138516426086426,False
07,2,lin,T,0.009655113021532696,-0.009635448455810547,True
07,2,lin,A,0.00033804277578989667,-0.00018745660781860352,False
07,2,lin,V,0.0007791817188262939,-0.000768125057220459,True
07,3,##n,T,0.0012765576442082724,-0.00149613618850708,False
07,3,##n,A,0.00033804277578989667,-0.00018745660781860352,False
07,3,##n,V,0.0007791817188262939,-0.000768125057220459,True
07,4,’,T,0.0008961906035741171,-0.0003769397735595703,False
07,4,’,A,0.00033804277578989667,-0.00018745660781860352,False
07,4,’,V,0.0007791767517725627,-0.000768125057220459,True
07,5,s,T,0.005065446098645528,-0.006744384765625,False
07,5,s,A,0.00033804277578989667,-0.00018745660781860352,False
07,5,s,V,0.0007791817188262939,-0.000768125057220459,True
07,6,associate,T,0.00957934558391571,-0.009887278079986572,False
07,6,associate,A,0.00015516579151153564,-0.0002294778823852539,False
07,6,associate,V,0.000823463002840678,-0.0009251832962036133,True
07,7,editor,T,0.0020288825035095215,0.002852797508239746,False
07,7,editor,A,0.0006515979766845703,4.500150680541992e-05,False
07,7,editor,V,0.000853121280670166,-0.0010867714881896973,True
07,8,michael,T,0.00984265903631846,-0.012039363384246826,False
07,8,michael,A,0.00035139918327331543,-0.00031375885009765625,False
07,8,michael,V,0.0006848225990931194,-0.0006887316703796387,True
07,9,ba,T,0.0032205531994501753,-0.0037293434143066406,False
07,9,ba,A,0.0001792311668395996,0.0002555251121520996,False
07,9,ba,V,0.000705912709236145,-0.0006538629531860352,True
07,10,##ad,T,0.003333176175753276,-0.004255473613739014,False
07,10,##ad,A,0.0001792311668395996,0.0002555251121520996,False
07,10,##ad,V,0.000705912709236145,-0.0006538629531860352,False
07,11,##ke,T,0.0023944228887557983,-0.002503514289855957,False
07,11,##ke,A,0.0001792311668395996,0.0002555251121520996,False
07,11,##ke,V,0.0007059027751286824,-0.0006538629531860352,False
07,12,reports,T,0.020861481626828514,-0.02335965633392334,True
07,12,reports,A,3.421306610107422e-05,-3.68952751159668e-05,False
07,12,reports,V,0.00035738448301951087,-0.0004000663757324219,False
07,13,in,T,0.006066506107648214,-0.0070195794105529785,True
07,13,in,A,0.00013841688632965088,0.00023037195205688477,False
07,13,in,V,0.00015072524547576904,-0.0001882314682006836,False
07,14,our,T,0.008213162422180176,0.00846642255783081,True
07,14,our,A,0.0009582191705703735,-0.0010876059532165527,False
07,14,our,V,4.4658780097961426e-05,-7.909536361694336e-05,False
07,15,november,T,0.0007502684990564983,-0.0005336999893188477,False
07,15,november,A,0.00018220643202463785,-0.0003145933151245117,False
07,15,november,V,0.00014079113801320392,-0.00011336803436279297,False
07,16,28,T,0.001087769865989685,0.0013448596000671387,False
07,16,28,A,0.00015633801619211834,0.0001315474510192871,False
07,16,28,V,0.00011175870895385742,-7.998943328857422e-05,False
