sample_id,position,token,modality,D,delta_class,selected
08,1,that,T,0.012058153748512268,-0.013673126697540283,False
08,1,that,A,0.0038549602031707764,0.005487918853759766,True
08,1,that,V,0.0003303239742914835,0.00022643804550170898,False
08,2,brings,T,0.042971854408582054,0.05700385570526123,True
08,2,brings,A,0.001590187350908915,0.0014855265617370605,False
08,2,brings,V,0.00021774073441823324,0.00010085105895996094,False
08,3,us,T,0.01164272427558899,0.012427449226379395,False
08,3,us,A,0.0011525154113769531,-0.0012933611869812012,False
08,3,us,V,0.00041449566682179767,-0.0008020997047424316,False
08,4,to,T,0.0065427422523498535,0.009243369102478027,False
08,4,to,A,0.0017995983362197876,-0.0009929537773132324,False
08,4,to,V,0.0005424867073694866,0.0005272626876831055,True
08,5,tonight,T,0.021354034543037415,0.0306931734085083,True
08,5,tonight,A,0.00035390257835388184,0.0005767941474914551,False
08,5,tonight,V,0.0003749281167984009,-0.0003898739814758301,False
08,6,",",T,0.0035431732734044394,0.0001392364501953125,False
08,6,",",A,0.0003539075454076131,0.0005767941474914551,False
08,6,",",V,0.0003749380509058634,-0.0003898739814758301,False
08,7,the,T,0.0003410925467809041,-0.0006597638130187988,False
08,7,the,A,0.0015721768140792847,-0.0018279552459716797,False
08,7,the,V,0.00039383272329966224,-0.00045037269592285156,False
08,8,universal,T,0.01361115276813507,0.01592850685119629,False
08,8,universal,A,0.004304319620132446,-0.0016509294509887695,True
08,8,universal,V,0.00028726955254872644,0.0001844167709350586,False
08,9,design,T,0.01607667903105418,-0.019929468631744385,False
08,9,design,A,0.0010246286789576211,-0.0003819465637207031,False
08,9,design,V,0.000144079327583313,-0.00010657310485839844,False
08,10,grand,T,0.002794379989306132,0.0002726912498474121,False
08,10,grand,A,0.0025190164645512896,-0.0021044015884399414,False
08,10,grand,V,0.0001361916462580363,0.00025093555450439453,False
08,11,challenge,T,0.008495365579922995,0.013317525386810303,False
08,11,challenge,A,0.0023305664459864297,0.0004903078079223633,False
08,11,challenge,V,0.0004344433546066284,0.0008442401885986328,True
