sample_id,word_id,score,accepted,duration
-3g5yACwYnA$_$13,0,-0.14096641147074643,True,0.6124817708333334
-3g5yACwYnA$_$13,1,-0.0012509358493844047,True,0.06427529761904749
-3g5yACwYnA$_$13,2,-0.00027305762148444046,True,0.12855059523809542
-3g5yACwYnA$_$13,3,-0.0004615965446816972,True,0.2571011904761904
-3g5yACwYnA$_$13,4,-0.002426950003609818,True,0.1928258928571429
-3g5yACwYnA$_$13,5,-0.0445336763546219,True,0.7070282738095237
-3g5yACwYnA$_$13,6,-7.813581532900571e-05,True,0.09641294642857146
-3g5yACwYnA$_$13,7,-0.03267735371885768,True,0.16068824404761894
-3g5yACwYnA$_$13,8,-0.001991594399441965,True,0.09641294642857146
-3g5yACwYnA$_$13,9,-0.6130743034658129,True,0.1928258928571429
-3g5yACwYnA$_$13,10,-0.18914008426103324,True,0.3856517857142858
-3g5yACwYnA$_$13,11,-0.02518071414856422,True,0.48206473214285683
-3g5yACwYnA$_$13,12,-0.0036281021263372772,True,0.0964129464285719
-3g5yACwYnA$_$13,13,-0.002485816758735382,True,0.09641294642857101
-3g5yACwYnA$_$13,14,-2.205329553817137e-05,True,0.12855059523809498
-3g5yACwYnA$_$2,0,-0.4564067668564763,True,0.5160824259581882
-3g5yACwYnA$_$2,1,-3.2714229800185253,True,0.32164851916376325
-3g5yACwYnA$_$2,2,-0.03227884747684584,True,0.2734012412891982
-3g5yACwYnA$_$2,3,-0.1267435990703234,True,0.11257698170731745
-3g5yACwYnA$_$2,4,-0.028832290525140428,True,0.41814307491289204
-3g5yACwYnA$_$2,5,-0.003608238326943468,True,0.35381337108013966
-3g5yACwYnA$_$2,6,-0.008211541281661993,True,0.32164851916376236
-3g5yACwYnA$_$2,7,-0.2163819177737878,True,0.5160824259581878
-3g5yACwYnA$_$2,8,-0.00044573348066023755,True,0.4824727787456444
-3g5yACwYnA$_$2,9,-0.00458375080688711,True,0.2573188153310104
-3g5yACwYnA$_$2,10,-0.0009368996426928789,True,0.16082425958188207
-3g5yACwYnA$_$2,11,-0.057914747760300145,True,0.2734012412891982
-3g5yACwYnA$_$2,12,-0.0016305181100809325,True,0.112576981707317
-3g5yACwYnA$_$2,13,-0.00018960950057334003,True,0.5146376306620208
-3g5yACwYnA$_$3,0,-0.0027509940895318625,True,0.46477446868008954
-3g5yACwYnA$_$3,1,-0.000748549592946309,True,0.4166943512304251
-3g5yACwYnA$_$3,2,-0.00014325278877909872,True,0.1923204697986578
-3g5yACwYnA$_$3,3,-0.2510032829431183,True,0.6121869407158838
-3g5yACwYnA$_$3,4,-0.1907964674726827,True,0.14424035234899346
-3g5yACwYnA$_$3,5,-0.18160916952825468,True,0.5609347035794183
-3g5yACwYnA$_$3,6,-3.8083633182766867e-05,True,0.5160267058165546
-3g5yACwYnA$_$3,7,-5.636468628011926e-05,True,0.2884807046979869
-3g5yACwYnA$_$3,8,-7.614391339672011e-06,True,0.5128545861297535
-3g5yACwYnA$_$3,9,-0.025357713660923764,True,0.5160267058165546
-3g5yACwYnA$_$3,10,-0.603665214407686,True,0.4487477628635341
-3g5yACwYnA$_$3,11,-0.39663989694218554,True,0.3846409395973156
-3g5yACwYnA$_$3,12,-8.426104245229382e-05,True,0.5128545861297544
-3g5yACwYnA$_$3,13,-0.06375493827847224,True,0.22437388143176662
-3g5yACwYnA$_$3,14,-0.09232705197064206,True,0.0641068232662203
-3g5yACwYnA$_$3,15,-0.0001236651191902638,True,0.09616023489932779
-3g5yACwYnA$_$3,16,-0.006469286715002909,True,0.41669435123042575
-3g5yACwYnA$_$3,17,-0.028714106447978338,True,0.5160267058165537
-3g5yACwYnA$_$3,18,-0.01648281425836539,True,0.9647744686800888
-3g5yACwYnA$_$3,19,-0.0002263566866522737,True,0.25642729306487766
-3g5yACwYnA$_$3,20,-0.0010572603847170587,True,0.22437388143176662
-3g5yACwYnA$_$3,21,-0.07387436819567483,True,0.3846409395973147
-3g5yACwYnA$_$3,22,-1.2507320393305008,True,0.4808011744966443
-3g5yACwYnA$_$3,23,-0.0018737509817583486,True,0.1282136465324406
-3g5yACwYnA$_$3,24,-0.00011002087740052957,True,0.09616023489932779
-3g5yACwYnA$_$3,25,-0.0030323308371104454,True,0.19232046979865736
-3g5yACwYnA$_$3,26,-0.040959464797469994,True,0.2884807046979869
-3g5yACwYnA$_$3,27,-0.5747409109026194,True,0.0641068232662203
-3g5yACwYnA$_$3,28,-0.039156805067796084,True,0.1602670581655481
-3g5yACwYnA$_$9,0,-5.411563302952042e-05,True,0.41715728782287825
-3g5yACwYnA$_$9,1,-0.00047882552826195024,True,0.12835608856088565
-3g5yACwYnA$_$9,2,-0.0035395077684370335,True,0.19253413284132825
-3g5yACwYnA$_$9,3,-0.4247845371156127,True,0.5160445110701108
-3g5yACwYnA$_$9,4,-0.08063780712575408,True,0.6899139760147599
-3g5yACwYnA$_$9,5,-0.06856953919253783,True,0.1444005996309965
-3g5yACwYnA$_$9,6,-9.230116427010457e-05,True,0.5160445110701106
-3g5yACwYnA$_$9,7,-0.0012906441803295365,True,0.16044511070110712
-3g5yACwYnA$_$9,8,-0.00012439857785295771,True,0.22462315498155005
-3g5yACwYnA$_$9,9,-0.00016792491442056226,True,0.19253413284132836
-3g5yACwYnA$_$9,10,-0.26281215609890296,True,0.12835608856088587
-3g5yACwYnA$_$9,11,-0.032192545006955696,True,0.32089022140221335
-3g5yACwYnA$_$9,12,-0.005557166350627085,True,0.12835608856088587
-3g5yACwYnA$_$9,13,-0.0010147004340979038,True,0.288801199261993
-3g5yACwYnA$_$9,14,-0.6375392680839607,True,0.5160445110701106
-3g5yACwYnA$_$9,15,-0.00012742377352026324,True,0.25671217712177086
-3g5yACwYnA$_$9,16,-0.0010238512913929299,True,0.16044511070110712
-3g5yACwYnA$_$9,17,-0.07114447525573268,True,0.33693473247232486
-3g5yACwYnA$_$9,18,-0.12805947683318664,True,0.4332017988929886
-3g5yACwYnA$_$9,19,-0.0004771479064906714,True,0.5455133763837638
-3g5yACwYnA$_$9,20,-0.571180029489301,True,0.6417804428044285
-3nNcZdcdvU$_$5,0,-1.4788655918516986,True,1.2069053460743802
-3nNcZdcdvU$_$5,1,-8.112913123644223e-05,True,0.22528899793388435
-3nNcZdcdvU$_$5,2,-0.32120749457860676,True,0.5149462809917353
-3nNcZdcdvU$_$5,3,-1.8610577941447966,True,0.41839385330578516
-3nNcZdcdvU$_$5,4,-0.020235980022973738,True,0.3862097107438016
-3nNcZdcdvU$_$5,5,-0.0005263179769724299,True,0.4505779958677687
-3nNcZdcdvU$_$5,6,-1.770164610670477e-05,True,0.5149462809917358
-3nNcZdcdvU$_$5,7,-0.00033292007375804487,True,0.2896572830578519
-3nNcZdcdvU$_$5,8,-1.6820342343534965e-05,True,0.5160920712809922
-3nNcZdcdvU$_$5,9,-0.00010990805924393499,True,0.289657283057851
-3nNcZdcdvU$_$5,10,-3.4570595914829028e-06,True,0.16092071280991682
-3nNcZdcdvU$_$5,11,-0.013698340077096915,True,0.12873657024793417
-3nNcZdcdvU$_$5,12,-7.192923329367974e-05,True,0.3862097107438025
-3nNcZdcdvU$_$5,13,-0.006821906596980755,True,0.2252889979338839
-3nNcZdcdvU$_$5,14,-0.00015550189721125207,True,0.16092071280991682
-3nNcZdcdvU$_$5,15,-0.00026238366613000607,True,0.16092071280991682
-3nNcZdcdvU$_$5,16,-0.0010480540961831746,True,0.1609207128099186
-3nNcZdcdvU$_$5,17,-6.396342130048854e-05,True,0.32184142561983364
-571d8cVauQ$_$0,0,-0.8444194652936002,True,0.5161042338709676
-571d8cVauQ$_$0,1,-2.9706962320487946,True,0.06441693548387106
-571d8cVauQ$_$0,2,-1.7406434112390343,True,0.25766774193548403
-571d8cVauQ$_$0,3,-2.3126536698541713,True,0.289876209677419
-571d8cVauQ$_$0,4,-0.13563905581852018,True,0.19325080645161297
-571d8cVauQ$_$0,5,-0.03835739056313159,True,0.5153354838709681
-571d8cVauQ$_$0,6,-0.12654604902116828,True,0.5153354838709676
-571d8cVauQ$_$0,7,-0.002911510083038138,True,0.12883387096774168
-571d8cVauQ$_$0,8,-0.0002644167559303412,True,0.28987620967741945
-571d8cVauQ$_$0,9,-0.0002437984546569775,True,0.19325080645161297
-571d8cVauQ$_$0,10,-0.0007027262948682278,True,0.3865016129032255
-571d8cVauQ$_$0,11,-0.05577369667067463,True,0.1610423387096782
-571d8cVauQ$_$5,0,-3.3378234389758177e-06,True,0.2888264331210191
-571d8cVauQ$_$5,1,-0.010823682342959273,True,0.22464278131634818
-571d8cVauQ$_$5,2,-2.789362592920952e-05,True,0.35301008492568997
-571d8cVauQ$_$5,3,-7.298158294588575e-05,True,0.2888264331210191
-571d8cVauQ$_$5,4,-0.0001631839298397608,True,0.19255095541401257
-571d8cVauQ$_$5,5,-0.00022433014935176385,True,0.2246427813163483
-571d8cVauQ$_$5,6,-8.187864399822331e-06,True,0.5160459129511676
-571d8cVauQ$_$5,7,-0.0007323158943866778,True,0.19255095541401257
-571d8cVauQ$_$5,8,-0.0125970456507719,True,0.6739283439490449
-571d8cVauQ$_$5,9,-6.14061458595724e-05,True,0.4813773885350314
-571d8cVauQ$_$5,10,-5.125862098306503e-05,True,0.44928556263269614
-571d8cVauQ$_$5,11,-0.0008595709558743003,True,0.48137738853503187
-571d8cVauQ$_$5,12,-4.806747317243065e-05,True,0.256734607218684
-571d8cVauQ$_$5,13,-0.0003301028251954108,True,0.12836730360934112
-571d8cVauQ$_$5,14,-0.049928232549806766,True,0.38510191082802603
-571d8cVauQ$_$5,15,-0.008327064035022147,True,0.128367303609342
-571d8cVauQ$_$5,16,-1.2755178848541012e-05,True,0.09627547770700673
-571d8cVauQ$_$5,17,-0.00043964062801933325,True,0.19255095541401168
-571d8cVauQ$_$5,18,-2.3109017520450692e-05,True,0.5160459129511672
-571d8cVauQ$_$5,19,-0.0001704804790279013,True,0.22464278131634963
-571d8cVauQ$_$5,20,-5.962387562590266e-05,True,0.1604591295116773
-571d8cVauQ$_$5,21,-0.015079829338770676,True,0.24068869426751505
-571d8cVauQ$_$5,22,-0.009862585225770696,True,0.08022956475583953
-571d8cVauQ$_$5,23,-0.006251895132652073,True,0.5160459129511681
-571d8cVauQ$_$5,24,-0.002887362820911221,True,0.19255095541401168
-571d8cVauQ$_$5,25,-0.0022978377020081097,True,0.1444132165605101
-571d8cVauQ$_$5,26,-0.046721458129746776,True,0.36905599787685794
-571d8cVauQ$_$5,27,-1.3511831525647722e-05,True,0.516045912951169
-571d8cVauQ$_$5,28,-0.008944447794969316,True,0.11232139065817393
-571d8cVauQ$_$5,29,-0.0013519427351032693,True,0.11232139065817393
-571d8cVauQ$_$5,30,-0.15558996210771983,True,0.4492855626326957
-571d8cVauQ$_$5,31,-2.4734962445127167,True,0.12836730360934112
-571d8cVauQ$_$5,32,-6.717591322415371e-05,True,0.22464278131634785
-571d8cVauQ$_$5,33,-0.00012729642079446033,True,0.5160459129511672
-571d8cVauQ$_$5,34,-0.002738906272418262,True,0.3209182590233546
-571d8cVauQ$_$5,35,-0.00010897935090762682,True,0.19255095541401168
-571d8cVauQ$_$5,36,-0.00010784505137155047,True,0.4171937367303613
-571d8cVauQ$_$5,37,-9.126742390730413e-06,True,0.5160459129511672
-571d8cVauQ$_$5,38,-4.8475796456652155e-05,True,0.19255095541401346
-571d8cVauQ$_$5,39,-0.007437491079031133,True,0.1604591295116755
-571d8cVauQ$_$5,40,-0.0002778369045992284,True,0.19255095541401346
-571d8cVauQ$_$5,41,-0.013952926885195893,True,0.3851019108280269
-571d8cVauQ$_$5,42,-3.570877781111648e-05,True,0.516045912951169
-6rXp3zJ3kc$_$8,0,-1.4453908565319327,True,0.272727959697733
-6rXp3zJ3kc$_$8,1,-9.991260595398899e-05,True,0.25668513853904273
-6rXp3zJ3kc$_$8,2,-0.07235872443857261,True,0.25668513853904273
-6rXp3zJ3kc$_$8,3,-0.0005306269036477065,True,0.22459949622166242
-6rXp3zJ3kc$_$8,4,-0.00023847000870854833,True,0.44919899244332484
-6rXp3zJ3kc$_$8,5,-0.00010207077486749465,True,0.1604282115869018
-6rXp3zJ3kc$_$8,6,-2.1004355949116872e-05,True,0.19251385390428188
-6rXp3zJ3kc$_$8,7,-0.03705214838230729,True,0.22459949622166242
-6rXp3zJ3kc$_$8,8,-0.00033648948738118634,True,0.1283425692695217
-6rXp3zJ3kc$_$8,9,-0.00025327411488262896,True,0.1604282115869018
-6rXp3zJ3kc$_$8,10,-0.00015049660721530244,True,0.772727959697733
-6rXp3zJ3kc$_$8,11,-0.0032344270699127264,True,0.1604282115869018
-6rXp3zJ3kc$_$8,12,-0.0020612706627124075,True,0.3529420654911841
-6rXp3zJ3kc$_$8,13,-0.00048396092159919135,True,0.16042821158690135
-6rXp3zJ3kc$_$8,14,-0.004808185850720292,True,0.5133702770780859
-6rXp3zJ3kc$_$8,15,-0.008656245641759597,True,0.19251385390428233
-6rXp3zJ3kc$_$8,16,-0.032500068553929395,True,0.48128463476070493
-6rXp3zJ3kc$_$8,17,-0.9504061953822808,True,0.41711335012594475
-6rXp3zJ3kc$_$8,18,-1.1991167824289715,True,0.513370277078085
-6rXp3zJ3kc$_$8,19,-0.0016652135100230225,True,0.09625692695214116
-6rXp3zJ3kc$_$8,20,-0.14037254938739352,True,0.09625692695214116
-6rXp3zJ3kc$_$8,21,-0.0004975876269289378,True,0.16042821158690224
-6rXp3zJ3kc$_$8,22,-2.7804840868839165e-05,True,0.16042821158690135
-6rXp3zJ3kc$_$8,23,-0.0005343516678664173,True,0.3529420654911837
-6rXp3zJ3kc$_$8,24,-1.7264900476969085e-05,True,0.22459949622166242
-6rXp3zJ3kc$_$8,25,-0.012950068366702384,True,0.7085566750629724
-6rXp3zJ3kc$_$8,26,-0.009654447417600553,True,0.596256926952142
-6rXp3zJ3kc$_$8,27,-0.007679159600038268,True,0.3689848866498746
-6rXp3zJ3kc$_$8,28,-0.0016058086216617085,True,0.09625692695214028
-6rXp3zJ3kc$_$8,29,-9.226392312555731e-05,True,0.19251385390428233
-6rXp3zJ3kc$_$8,30,-0.003618128084652028,True,0.497327455919395
-6rXp3zJ3kc$_$8,31,-0.008955592273344928,True,0.593584382871537
-6rXp3zJ3kc$_$8,32,-4.524728456090088e-05,True,0.3529420654911828
-6rXp3zJ3kc$_$8,33,-7.793151148405286e-06,True,0.22459949622166242
-9y-fZ3swSY$_$0,0,-0.00014750260015716776,True,0.09652857142857142
-9y-fZ3swSY$_$0,1,-5.405437607318163,False,
-9y-fZ3swSY$_$0,2,-4.649687057448318,True,0.06435238095238094
-9y-fZ3swSY$_$0,3,-0.6032170348256235,True,0.19305714285714287
-9y-fZ3swSY$_$0,4,-0.03593887931570126,True,0.7239642857142856
-9y-fZ3swSY$_$0,5,-1.229887031814087,True,0.5160880952380953
-9y-fZ3swSY$_$0,6,-0.000353134170230381,True,0.16088095238095246
-9y-fZ3swSY$_$0,7,-0.00020152920186546907,True,0.35393809523809505
-9y-fZ3swSY$_$0,8,-0.0002322021104649754,True,0.5160880952380951
-9y-fZ3swSY$_$0,9,-1.3499292191602283,True,0.48264285714285693
-9y-fZ3swSY$_$0,10,-1.6557432038517619,True,0.2895857142857148
-9y-fZ3swSY$_$0,11,-4.531378560932353,True,0.06435238095238072
-9y-fZ3swSY$_$0,12,-0.0001105786650441587,True,0.09652857142857174
-9y-fZ3swSY$_$0,13,-9.85441099447352e-06,True,0.4182904761904753
-9y-fZ3swSY$_$0,14,-4.63464567385007e-05,True,0.35393809523809594
-9y-fZ3swSY$_$0,15,-0.10703383865981664,True,0.24132142857142824
-9y-fZ3swSY$_$0,16,-0.015452272276874623,True,0.14479285714285695
-9y-fZ3swSY$_$0,17,-3.9138557351887153e-05,True,0.25740952380952464
-9y-fZ3swSY$_$0,18,-0.00048639058624238326,True,0.25740952380952287
-9y-fZ3swSY$_$0,19,-0.0035320164051881875,True,0.19305714285714348
-9y-fZ3swSY$_$0,20,-0.0015099260801889614,True,0.12870476190476143
