sample_id,position,token,modality,D,delta_class,selected
12,1,or,T,0.013896276553471882,-0.014111995697021484,True
12,1,or,A,8.075435956319174e-05,-9.304285049438477e-05,False
12,1,or,V,0.0001011192798614502,0.00010842084884643555,False
12,2,worse,T,0.06374467412630717,0.07154417037963867,True
12,2,worse,A,0.00017302234967549643,-8.749961853027344e-05,False
12,2,worse,V,0.0001192490259806315,0.00012362003326416016,False
12,3,",",T,0.0008798142274220785,0.00033229589462280273,False
12,3,",",A,0.00017302234967549643,-8.749961853027344e-05,False
12,3,",",V,0.00011923909187316895,0.00012362003326416016,False
12,4,an,T,0.0005349914232889811,-0.001058042049407959,False
12,4,an,A,0.00019790728886922201,-9.316205978393555e-05,False
12,4,an,V,0.00010047356287638347,7.599592208862305e-05,False
12,5,individual,T,0.01087286074956258,-0.009098947048187256,False
12,5,individual,A,0.0004349946975708008,-0.0005103945732116699,False
12,5,individual,V,7.52409299214681e-05,9.47117805480957e-05,False
12,6,previously,T,0.000691513220469157,-0.0007677674293518066,False
12,6,previously,A,0.00026022394498189294,-8.821487426757812e-05,False
12,6,previously,V,6.972750027974446e-05,0.00012826919555664062,False
12,7,had,T,0.0023776789506276446,-0.0015655159950256348,False
12,7,had,A,0.0004773139953613281,-8.821487426757812e-05,False
12,7,had,V,9.008248647054036e-05,0.00012534856796264648,False
12,8,good,T,0.003363122542699178,0.0019965767860412598,False
12,8,good,A,0.00030237436294555664,-0.0003115534782409668,False
12,8,good,V,7.018446922302246e-05,0.00012493133544921875,False
12,9,credit,T,0.006562133630116781,-0.006152689456939697,False
12,9,credit,A,0.00030118227005004883,-0.0003394484519958496,False
12,9,credit,V,8.012851079305014e-05,5.167722702026367e-05,False
12,10,",",T,0.005129804213841757,-0.004389762878417969,False
12,10,",",A,0.00030118227005004883,-0.0003394484519958496,False
12,10,",",V,8.012851079305014e-05,5.167722702026367e-05,False
12,11,but,T,0.0026742617289225263,-0.0021920204162597656,False
12,11,but,A,0.00043269991874694824,-0.00039070844650268555,False
12,11,but,V,0.00010070204734802246,8.147954940795898e-05,False
12,12,usually,T,0.0047694941361745204,-0.005388200283050537,False
