selection,n_total,n_eligible,mean_G,median_G,q25_G,q75_G,positive_fraction,n_planned,n_complete,n_not_applicable,n_without_controls,ci_low,ci_high,bootstrap_unit,bootstrap_clusters,random_count_min,random_count_max,n_random_below_20,mean_target,mean_random,mean_jaccard,cost_mismatches,contrast
key.A.p20.block3,728,728,0.00011488225526334599,0.00012389197945594777,-0.0019094068557023998,0.002414474884668986,0.510989010989011,728,728,0,0,-0.00022051924402198558,0.0004524204788609502,video_id cluster; sample-weighted mean,239,0,0,728,0.005267242972827312,0.005152360717563966,0.29851298933595316,22,group D minus same-cost point D; not a causal interaction
key.T.p20.block3,728,728,-0.0368710753981569,-0.019040701678022735,-0.06775817119826874,0.014497952846189354,0.35302197802197804,728,728,0,0,-0.04592575491337982,-0.028203396019975457,video_id cluster; sample-weighted mean,239,0,0,728,0.09877326940264146,0.13564434480079837,0.26152194389689287,22,group D minus same-cost point D; not a causal interaction
key.T.p20.word,728,728,0.001135389453545128,0.0,-0.005871163681149479,0.002792212491234153,0.26373626373626374,728,728,0,0,-0.003687186691430234,0.005843157667364275,video_id cluster; sample-weighted mean,239,0,0,728,0.13662369100062685,0.13548830154708172,0.7209581889506744,0,group D minus same-cost point D; not a causal interaction
key.V.p20.block3,728,713,-0.0008044676596986531,-0.000222491721312205,-0.0017214342951774595,0.0007099633415540059,0.38288920056100983,713,713,0,0,-0.0010779990240577678,-0.0005301817284578612,video_id cluster; sample-weighted mean,233,0,0,713,0.004877936693702795,0.005682404353401449,0.35137434227443304,26,group D minus same-cost point D; not a causal interaction
