split,selection_id,operation,sample_id,video_id,target,random,n_random,gain,modality
valid,key.A.p20.point,delete,101787$_$5,101787,0.0003957748413085,0.0010842768351236,50,-0.0006885019938150999,A
valid,key.V.p20.point,delete,101787$_$5,101787,0.0012755393981933,0.000367734581232,8,0.0009078048169612999,V
valid,key.J.p20.joint,delete,101787$_$5,101787,0.2872721354166667,0.0729073686773578,50,0.21436476673930888,J
valid,key.T.p20.point,delete,101787$_$7,101787,0.4322924787799517,0.082725145543615,20,0.3495673332363367,T
valid,key.A.p20.point,delete,101787$_$7,101787,0.0040026207764943,0.0023244102795918,20,0.0016782104969025003,A
valid,key.V.p20.point,delete,101787$_$7,101787,0.0001747806866963,0.0008622696002324,20,-0.0006874889135360999,V
valid,key.J.p20.joint,delete,101787$_$7,101787,0.3571609246234098,0.0157044075784229,7,0.3414565170449869,J
valid,key.T.p20.point,delete,101787$_$9,101787,0.0903357006609439,0.0263522080952922,50,0.0639834925656517,T
valid,key.A.p20.point,delete,101787$_$9,101787,0.0060272191961606,0.002733237457772,50,0.0032939817383886003,A
valid,key.V.p20.point,delete,101787$_$9,101787,0.0036023010810216,0.0020985724901159,50,0.0015037285909057,V
valid,key.J.p20.joint,delete,101787$_$9,101787,0.0555314756929874,0.0212319066326987,50,0.0342995690602887,J
valid,key.T.p20.point,delete,102408$_$2,102408,0.2868122855822245,0.0655009245706929,6,0.2213113610115316,T
valid,key.A.p20.point,delete,102408$_$2,102408,0.0036459490656852,0.0014236312773492,6,0.0022223177883359995,A
valid,key.V.p20.point,delete,102408$_$2,102408,0.0014780834317207,0.0009737879865699,6,0.0005042954451508,V
valid,key.J.p20.joint,delete,102408$_$2,102408,0.2866036022702853,0.0656587841610113,6,0.22094481810927402,J
valid,key.T.p20.point,delete,102408$_$5,102408,0.2392896686991055,0.1086165511716778,50,0.13067311752742772,T
valid,key.A.p20.point,delete,102408$_$5,102408,0.0065407653649648,0.0039323054254055,50,0.0026084599395592998,A
valid,key.V.p20.point,delete,102408$_$5,102408,0.0037777399023373,0.0016669599215189,50,0.0021107799808183997,V
valid,key.J.p20.joint,delete,102408$_$5,102408,0.1602907155950864,0.0853369287642029,50,0.0749537868308835,J
valid,key.T.p20.point,delete,102408$_$9,102408,0.0155604183673858,0.0554368605324998,50,-0.039876442165114,T
valid,key.A.p20.point,delete,102408$_$9,102408,0.0038125962018966,0.0016386760771274,50,0.0021739201247691995,A
valid,key.V.p20.point,delete,102408$_$9,102408,0.0003407398859659,0.0007996824880441,50,-0.00045894260207820007,V
valid,key.J.p20.joint,delete,102408$_$9,102408,0.0209350734949111,0.0623234428445963,50,-0.041388369349685206,J
valid,key.T.p20.point,delete,102858$_$20,102858,0.0343192083140214,0.0920093987168123,50,-0.05769019040279089,T
valid,key.A.p20.point,delete,102858$_$20,102858,0.0048600571850935,0.0054740603019793,50,-0.0006140031168858006,A
valid,key.V.p20.point,delete,102858$_$20,102858,0.001785868157943,0.0007181418935457,50,0.0010677262643972998,V
valid,key.J.p20.joint,delete,102858$_$20,102858,0.0219261360665162,0.0661540287151001,50,-0.04422789264858389,J
valid,key.T.p20.point,delete,102858$_$21,102858,0.3271883130073547,0.0436454127728939,50,0.28354290023446077,T
valid,key.A.p20.point,delete,102858$_$21,102858,0.0070882439613342,0.0038495419422785,50,0.0032387020190556997,A
valid,key.V.p20.point,delete,102858$_$21,102858,0.0010837316513061,0.0017331747213999,50,-0.0006494430700937999,V
valid,key.J.p20.joint,delete,102858$_$21,102858,0.3280797824263572,0.0532426075140635,50,0.2748371749122937,J
valid,key.T.p20.point,delete,102858$_$1,102858,0.0420712654789288,0.0317045322402069,50,0.010366733238721906,T
valid,key.A.p20.point,delete,102858$_$1,102858,0.002650740245978,0.0027295326938231,50,-7.879244784509982e-05,A
valid,key.V.p20.point,delete,102858$_$1,102858,0.000223085284233,0.0009175316492716,50,-0.0006944463650386,V
valid,key.J.p20.joint,delete,102858$_$1,102858,0.0424973790844281,0.0386217058263719,50,0.0038756732580561976,J
valid,key.T.p20.point,delete,102858$_$0,102858,0.2577596604824066,0.0464104637503623,2,0.21134919673204433,T
valid,key.A.p20.point,delete,102858$_$0,102858,0.0208558092514673,0.0094819068908691,2,0.0113739023605982,A
valid,key.V.p20.point,delete,102858$_$0,102858,0.0011773407459259,0.0005776385466257,2,0.0005997021993002001,V
valid,key.T.p20.point,delete,102858$_$4,102858,0.0542053480943044,0.0656973146724825,50,-0.011491966578178109,T
valid,key.A.p20.point,delete,102858$_$4,102858,0.0047456920146942,0.0027176207800706,50,0.0020280712346236,A
valid,key.V.p20.point,delete,102858$_$4,102858,0.0140548894802729,0.0036299759149551,50,0.0104249135653178,V
valid,key.J.p20.joint,delete,102858$_$4,102858,0.0206818953156471,0.0583331359752143,50,-0.037651240659567195,J
valid,key.T.p20.point,delete,102858$_$6,102858,0.3493132069706917,0.1043895945946375,50,0.2449236123760542,T
valid,key.A.p20.point,delete,102858$_$6,102858,0.0070262948671976,0.0039897401134173,50,0.0030365547537803,A
valid,key.V.p20.point,delete,102858$_$6,102858,0.003434548775355,0.0013167366148933,21,0.0021178121604617005,V
