split,cls,precision,recall,f1,support
valid,Negative,0.6494845360824743,0.6116504854368932,0.63,206
valid,Neutral,0.4642857142857143,0.3532608695652174,0.4012345679012346,184
valid,Positive,0.6522842639593909,0.7603550295857988,0.7021857923497268,338
test,Negative,0.6931216931216931,0.6328502415458938,0.6616161616161617,207
test,Neutral,0.4957983193277311,0.37341772151898733,0.4259927797833935,158
test,Positive,0.7159904534606205,0.8287292817679558,0.7682458386683739,362
