sample_id,video_id,episode_a,face_id_a,episode_b,face_id_b,cosine_similarity,episode_a_valid_embeddings,episode_b_valid_embeddings,episode_a_dispersion,episode_b_dispersion
-9y-fZ3swSY$_$8,-9y-fZ3swSY,0,0,1,0,0.9265565276145936,12,12,0.1295833587646484,0.0904529392719268
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,0,0,1,0,-0.0491161718964576,1,12,0.0,0.0280729830265045
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0,0,1,0,0.8301467895507812,1,2,0.0,0.0099478363990783
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0,0,2,0,0.7815917134284973,1,7,0.0,0.037350982427597
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,0,0,3,0,0.878192663192749,1,2,0.0,0.0297610163688659
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,1,0,2,0,0.746841549873352,2,7,0.0099478363990783,0.037350982427597
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,1,0,3,0,0.8651591539382935,2,2,0.0099478363990783,0.0297610163688659
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,2,0,3,0,0.8650803565979004,7,2,0.037350982427597,0.0297610163688659
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,0,0,1,0,0.9531731009483336,1,7,0.0,0.0197753012180328
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,0,0,2,0,-0.055996648967266,1,2,0.0,0.0078705251216888
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,1,0,2,0,-0.0336027815937995,7,2,0.0197753012180328,0.0078705251216888
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,0,0,1,0,0.8597754240036011,12,12,0.0719077587127685,0.1092017292976379
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,0,0,2,0,0.6963254809379578,12,12,0.0719077587127685,0.0511347949504852
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,1,0,2,0,0.7337906360626221,12,12,0.1092017292976379,0.0511347949504852
-MeTTeMJBNc$_$0,-MeTTeMJBNc,0,0,1,0,0.7860554456710815,2,12,0.0120903551578521,0.0949237346649169
-MeTTeMJBNc$_$7,-MeTTeMJBNc,0,0,1,1,-0.0286683142185211,12,5,0.1237328052520752,0.014549434185028
-RfYyzHpjk4$_$2,-RfYyzHpjk4,0,0,1,1,0.0792791694402694,12,1,0.0476089715957641,0.0
-RfYyzHpjk4$_$2,-RfYyzHpjk4,0,0,2,1,0.95540589094162,12,12,0.0476089715957641,0.0575776398181915
-RfYyzHpjk4$_$2,-RfYyzHpjk4,1,1,2,1,0.0664993971586227,1,12,0.0,0.0575776398181915
-THoVjtIkeU$_$6,-THoVjtIkeU,0,0,1,0,0.9325206875801086,1,1,0.0,0.0
-THoVjtIkeU$_$6,-THoVjtIkeU,0,0,2,0,0.5996921062469482,1,1,0.0,0.0
