sample_id,selection_id,delta_class,delta_score_raw
130456$_$4,suppress.T.p20.point,0.002676069736480713,0.2145712673664093
188343$_$12,suppress.T.p20.point,0.00036090612411499023,0.1327054500579834
266791$_$20,support.T.p20.point,-0.03222393989562988,0.13276050798594952
272624$_$8,suppress.T.p20.point,0.0016263723373413086,-0.010503292083740234
2Xt31_d0XEE$_$2,suppress.T.p20.point,0.00017535686492919922,-0.09508109092712402
3MFNIag0wNE$_$14,suppress.T.p20.point,0.007089555263519287,-0.06006646156311035
RArhIHk4Qs4$_$19,suppress.T.p20.point,0.007325232028961182,0.09968779236078262
wF8980oGklk$_$6,suppress.T.p20.point,0.04030740261077881,0.21707481145858765
zjYEBwXGD8I$_$0,suppress.T.p20.point,0.006389617919921875,0.2781636714935303
