sample_id,position,token,modality,D,delta_class,selected
15,1,however,T,0.013426000873247782,0.02412658929824829,False
15,1,however,A,0.0014812896649042764,-0.0011230707168579102,True
15,1,however,V,0.0007417996724446614,0.0007781386375427246,False
15,2,",",T,0.00639320413271586,-0.008785367012023926,False
15,2,",",A,0.001481279730796814,-0.0011230707168579102,True
15,2,",",V,0.0007417996724446614,0.0007781386375427246,False
15,3,despite,T,0.019281327724456787,-0.03170520067214966,False
15,3,despite,A,0.000590945283571879,0.0010775923728942871,False
15,3,despite,V,0.00012296438217163086,-0.00019687414169311523,False
15,4,their,T,0.01578668753306071,-0.024550676345825195,True
15,4,their,A,0.000449026624361674,0.000812530517578125,False
15,4,their,V,6.130337715148926e-05,-9.131431579589844e-05,False
15,5,poverty,T,0.14406584575772285,0.23137199878692627,True
15,5,poverty,A,0.0004878987868626913,0.0005640983581542969,False
15,5,poverty,V,0.0007547140121459961,-0.0008417367935180664,False
15,6,",",T,0.009287153681119284,-0.015517234802246094,False
15,6,",",A,0.0004878987868626913,0.0005640983581542969,False
15,6,",",V,0.0007547140121459961,-0.0008417367935180664,False
15,7,the,T,0.0014823377132415771,0.002230405807495117,False
15,7,the,A,0.0018503268559773764,0.0019249320030212402,True
15,7,the,V,0.0004385262727737427,0.0004025101661682129,False
15,8,family,T,0.003280674417813619,-0.006300091743469238,False
15,8,family,A,0.0011827449003855388,-0.0016025900840759277,False
15,8,family,V,0.0008264929056167603,0.0010853409767150879,False
15,9,prior,T,0.007157877087593079,0.012230873107910156,False
15,9,prior,A,0.0006723403930664062,-6.246566772460938e-05,False
15,9,prior,V,0.00013079245885213217,-0.0001475214958190918,False
15,10,##iti,T,0.015161712964375814,0.02306121587753296,False
15,10,##iti,A,0.0006723105907440186,-6.240606307983398e-05,False
15,10,##iti,V,0.00013078749179840088,-0.0001475214958190918,False
15,11,##ze,T,0.004839410384496053,-0.00590825080871582,False
15,11,##ze,A,0.0006723403930664062,-6.246566772460938e-05,False
15,11,##ze,V,0.00013078749179840088,-0.0001475214958190918,False
15,12,education,T,0.014607727527618408,-0.020117223262786865,False
15,12,education,A,0.0003609657287597656,0.0007204413414001465,False
15,12,education,V,0.0005630155404408773,-0.0007712841033935547,False
15,13,because,T,0.004160066445668539,-0.001991093158721924,False
15,13,because,A,0.0013415515422821045,0.002538144588470459,False
15,13,because,V,0.00011129180590311687,-6.99162483215332e-05,False
15,14,they,T,0.0057912419239679975,-0.008379161357879639,False
15,14,they,A,0.0009513596693674724,-0.0011801719665527344,False
15,14,they,V,2.5004148483276367e-05,9.357929229736328e-06,False
15,15,believed,T,0.024591768781344094,0.03270101547241211,False
15,15,believed,A,0.00016976396242777508,0.0001754164695739746,False
15,15,believed,V,0.0010085155566533406,0.0016526579856872559,True
15,16,in,T,0.005859141548474629,-0.009631872177124023,False
15,16,in,A,0.0003357927004496256,-0.0003274083137512207,False
15,16,in,V,0.0011729896068572998,0.0020360946655273438,True
15,17,its,T,0.025935823718706768,0.04200774431228638,True
15,17,its,A,0.000498458743095398,0.0007219314575195312,False
15,17,its,V,0.0009697626034418742,0.0009540915489196777,True
15,18,power,T,0.010990565021832783,-0.014152228832244873,False
15,18,power,A,0.0017404953638712566,-0.002572357654571533,True
15,18,power,V,0.0006099492311477661,-0.0003833174705505371,False
15,19,to,T,0.004714702566464742,-0.008110284805297852,False
15,19,to,A,0.0011032819747924805,-0.0017081499099731445,False
15,19,to,V,0.0008223156134287517,0.0010047554969787598,False
15,20,transform,T,0.042470450202624,-0.06887513399124146,True
15,20,transform,A,0.000510871410369873,-0.0007584095001220703,False
15,20,transform,V,0.0004789878924687703,-0.0003063082695007324,False
15,21,lives,T,0.010863885283470154,-0.016227304935455322,False
15,21,lives,A,0.0013779749472935996,0.001637279987335205,False
15,21,lives,V,0.0037939051787058515,-0.004837632179260254,True
