sample_id,position,token,modality,D,delta_class,selected
13,1,for,T,0.003334152201811473,-0.003549337387084961,False
13,1,for,A,0.0007124667366345723,-0.0006577968597412109,False
13,2,example,T,0.003998301923274994,-0.004452824592590332,False
13,2,example,A,0.0006582364439964294,-0.0005756616592407227,False
13,3,",",T,0.0018737117449442546,0.003522634506225586,False
13,3,",",A,0.000658232718706131,-0.0005756616592407227,False
13,4,i,T,0.020534330358107884,-0.02933269739151001,True
13,4,i,A,0.001430019736289978,-0.0015022754669189453,True
13,5,could,T,0.01715223987897237,-0.031840622425079346,True
13,5,could,A,0.0017779196302096048,-0.0020369291305541992,True
13,6,take,T,0.00799534966548284,0.013846337795257568,True
13,6,take,A,0.0009393071134885151,-0.0013139843940734863,True
13,7,a,T,0.0074628790219624834,0.012978792190551758,True
13,7,a,A,0.00013646110892295837,-3.832578659057617e-05,False
13,8,set,T,0.0036238407095273337,0.00605243444442749,False
13,8,set,A,0.00047088414430618286,0.0007150769233703613,False
13,9,of,T,0.005361283818880717,0.007694363594055176,False
13,9,of,A,0.0006524138152599335,0.0009012818336486816,False
13,10,data,T,0.0036796157558759055,-0.006413280963897705,False
13,10,data,A,0.0006194214026133219,0.0009085536003112793,False
13,11,and,T,0.0005170591175556183,9.810924530029297e-05,False
13,11,and,A,0.0005004294216632843,-0.000688016414642334,False
13,12,from,T,0.002106977005799611,0.0019172430038452148,False
13,12,from,A,0.00067920982837677,-0.00019097328186035156,False
13,13,that,T,0.002476383000612259,-0.003885626792907715,False
13,13,that,A,0.0006714289387067158,0.0005493760108947754,False
13,14,data,T,0.0031806578238805137,0.004628419876098633,False
13,14,data,A,0.001578224201997121,0.00229722261428833,True
13,15,",",T,0.0016713738441467285,-0.0024220943450927734,False
13,15,",",A,0.0015782291690508525,0.00229722261428833,True
13,16,i,T,0.01364827404419581,-0.021383821964263916,True
13,16,i,A,0.0005648458997408549,0.0009903907775878906,False
13,17,can,T,0.005847347279389699,-0.009649932384490967,False
13,17,can,A,0.0003343174854914347,0.00031512975692749023,False
13,18,find,T,0.011361030240853628,-0.018526732921600342,True
13,18,find,A,0.0009621307253837585,0.0016135573387145996,False
13,19,a,T,0.0014258076747258506,0.0015877485275268555,False
13,19,a,A,0.0003367774188518524,0.0005366802215576172,False
13,20,relationship,T,0.007511477917432785,0.014063477516174316,False
13,20,relationship,A,0.000332467257976532,0.00023126602172851562,False
13,21,between,T,0.006794586777687073,0.011337041854858398,False
13,21,between,A,0.000762606660525004,-0.001270592212677002,False
13,22,any,T,0.004455693066120148,0.007948577404022217,False
13,22,any,A,0.0005739902456601461,-0.0008112788200378418,False
13,23,two,T,0.006449885666370392,0.011675775051116943,False
13,23,two,A,0.0006182193756103516,-0.0006239414215087891,False
13,24,of,T,0.0005421539147694906,-0.0007108449935913086,False
13,24,of,A,0.0005175446470578511,-0.0004999041557312012,False
13,25,the,T,0.00021203234791755676,-8.487701416015625e-05,False
13,25,the,A,0.0006024812658627827,-0.0005168318748474121,False
13,26,given,T,0.002669472247362137,-0.0037689208984375,False
13,26,given,A,0.0012112458546956382,-0.0013012290000915527,True
13,27,factors,T,0.0011749168237050376,-0.0007152557373046875,False
13,27,factors,A,0.00040093809366226196,0.00046938657760620117,False
13,28,or,T,0.008537131051222483,0.015142083168029785,False
13,28,or,A,0.0006480701267719269,-0.0009672045707702637,False
13,29,more,T,0.008777434627215067,-0.016581833362579346,False
13,29,more,A,0.0006156787276268005,0.0008929967880249023,False
13,30,.,T,0.0043952204287052155,-0.005120396614074707,False
13,30,.,A,0.0006156452000141144,0.000892937183380127,False
