sample_id,modality,D,phi_class,phi_score_raw,observed
-UacrmKiTn4$_$7,T,0.292465440928936,0.37901338438193,0.7247604976097742,26
-UacrmKiTn4$_$7,A,0.021268372734387718,-0.0476583739121755,0.023204873005549118,26
-UacrmKiTn4$_$7,V,0.015175312757492065,-0.0329716553290685,-0.1155585398276647,26
-qDkUB0GgYY$_$5,T,0.03590073871115844,-0.08944587906201679,0.16060624644160268,48
-qDkUB0GgYY$_$5,A,0.06209799088537693,0.023950586716334023,0.10536132007837294,48
-qDkUB0GgYY$_$5,V,0.045166078954935074,0.02350805203119914,-0.060993093997240067,48
0utROiKxejc$_$1,T,0.4002161870400111,0.47655373315016425,1.2155620654424033,16
0utROiKxejc$_$1,A,0.01935674746831258,-0.03718615074952443,-0.11453137795130411,16
0utROiKxejc$_$1,V,0.013504604498545328,-0.07519142826398213,-0.22520790497461957,16
0utROiKxejc$_$4,T,0.29666462540626526,0.4811440954605738,-0.8097120771805444,33
0utROiKxejc$_$4,A,0.01881351073582967,0.039773444334665925,-0.05334911743799842,33
0utROiKxejc$_$4,V,0.04773437976837158,0.08781614402929941,-0.28474688033262885,33
0y022OlZ3W0$_$3,T,0.10562470306952795,0.04831468065579732,0.3781369378169378,17
0y022OlZ3W0$_$3,A,0.08087697190543015,0.047433262070020035,0.11993176241715749,17
0y022OlZ3W0$_$3,V,0.054528685907522835,0.0163412739833196,-0.20340083042780555,17
0y022OlZ3W0$_$5,T,0.18423862755298615,0.3118834892908732,-0.2678411230444908,22
0y022OlZ3W0$_$5,A,0.008948192000389099,0.0031735698382059727,-0.00026318430900572863,22
0y022OlZ3W0$_$5,V,0.0579277550180753,0.07556761304537454,-0.2834811881184578,22
0y022OlZ3W0$_$8,T,0.14075786309937635,0.11480930944283803,0.39812686666846275,13
0y022OlZ3W0$_$8,A,0.058492328971624374,-0.0024793396393458025,0.13555188849568367,13
0y022OlZ3W0$_$8,V,0.03742193182309469,-0.014214048782984413,-0.14817564189434052,13
101787$_$11,T,0.04643021523952484,0.09792110820611316,-0.08452481031417844,32
101787$_$11,A,0.027482921878496804,0.04397301872571309,-0.16980805993080136,32
101787$_$11,V,0.06535840531190236,0.08614361782868703,-0.3334207832813263,32
101787$_$13,T,0.3849913974603017,0.43513521552085876,1.3106650511423745,19
101787$_$13,A,0.023114914695421852,-0.04181276261806488,0.01864750186602277,19
101787$_$13,V,0.016540586948394775,-0.054968878626823425,-0.24653433760007223,19
101787$_$1,T,0.24623781939347583,0.20819778740406036,1.0008773257335026,16
101787$_$1,A,0.026769061883290608,-0.08187244832515715,-0.26558078328768414,16
101787$_$1,V,0.024581506848335266,-0.05143609642982482,-0.2632706711689631,16
101787$_$5,T,0.354664941628774,0.5266796151796976,-1.292914112408956,17
101787$_$5,A,0.037917494773864746,0.05856424073378245,-0.2619561304648717,17
101787$_$5,V,0.03374972939491272,0.061892504493395485,-0.28487909336884815,10
101787$_$7,T,0.45495959619681037,0.48713546991348267,1.748035654425621,8
101787$_$7,A,0.013831804196039837,-0.06464131176471709,-0.21923996508121496,8
101787$_$7,V,0.014575829108556112,-0.0429043024778366,-0.07779189944267274,8
101787$_$9,T,0.21502339964111647,0.4097064485152562,0.16888130828738213,19
101787$_$9,A,0.017646109995742638,0.043707405527432755,-0.10300865210592748,19
101787$_$9,V,0.016980327355364956,0.037449767192204796,-0.17038667388260362,19
102408$_$2,T,0.2356699456771215,0.3513620148102442,-0.5776644448439281,7
102408$_$2,A,0.030558993419011433,-0.015245144565900166,0.17561769609649974,7
102408$_$2,V,0.0278593103090922,-0.029608001311620075,0.12303716813524564,7
102408$_$5,T,0.21396286537249884,0.33005284269650775,-0.6555495094507933,29
102408$_$5,A,0.050705358386039734,-0.0326588029662768,0.21855000406503677,29
102408$_$5,V,0.05959336459636688,-0.05228081593910853,0.13493043743073938,29
102408$_$9,T,0.3586927230159442,0.5153913572430611,-0.9074931393067042,29
102408$_$9,A,0.039599036176999405,0.02469229698181152,0.21274060507615408,29
102408$_$9,V,0.04134225845336914,-0.04344860464334488,0.27573057015736896,29
102858$_$20,T,0.04499999557932218,0.08249905208746591,-0.0793507347504298,24
102858$_$20,A,0.020642075687646866,0.0323151151339213,0.05915634085734685,24
102858$_$20,V,0.04505463192860285,0.06259044508139291,-0.22341460237900418,24
102858$_$21,T,0.27508870015541714,0.4325960278511047,-0.8406848137577374,27
102858$_$21,A,0.028333534797032673,0.05437919497489929,-0.018754740556081114,27
102858$_$21,V,0.040914585192998246,0.07228505611419678,-0.29906898488601047,27
102858$_$1,T,0.20119882623354593,0.3414826194445292,0.38183146156370634,22
102858$_$1,A,0.0355146072494487,0.0572518656651179,0.167715173214674,22
102858$_$1,V,0.036498427391052246,0.05497481922308604,-0.2983093615621328,22
102858$_$0,T,0.35610340535640717,0.41325926780700684,1.1411851743857064,3
102858$_$0,A,0.03923303882280986,-0.026007294654846188,0.10316314796606701,3
102858$_$0,V,0.028886854648590088,-0.09139132499694824,-0.23733500142892197,3
102858$_$4,T,0.10845129440228145,0.0944380909204483,0.7000124057133992,48
102858$_$4,A,0.012052848935127258,0.04668746888637543,-0.03349963823954264,48
102858$_$4,V,0.021488100290298462,0.05238518118858337,-0.17633084456125891,48
102858$_$6,T,0.31393206864595413,0.3232836375633875,1.1778765494624772,26
102858$_$6,A,0.015987902879714966,-0.06462786843379338,0.06319292883078259,26
102858$_$6,V,0.05776057640711467,-0.12344650675853092,-0.41485599925120664,26
102858$_$10,T,0.3392173536121845,0.3828197121620178,1.195076304177443,10
102858$_$10,A,0.018129125237464905,-0.05718366801738739,0.05122381697098413,10
102858$_$10,V,0.02419514457384745,-0.07829494774341583,-0.20477726062138876,10
102858$_$17,T,0.01899635170896848,0.036790097753206887,0.032724931836128235,9
102858$_$17,A,0.022956067075332005,0.040763850013415016,0.030834082514047623,9
102858$_$17,V,0.036694519221782684,0.050159732500712075,-0.23721883073449132,9
102858$_$19,T,0.2669509382297595,0.31405113637447357,0.5616838783025742,12
102858$_$19,A,0.014787977561354637,-0.06938927620649336,-0.22624731808900833,12
102858$_$19,V,0.016892469798525177,-0.07513903826475142,-0.21929827332496643,12
112433$_$10,T,0.18105426927407584,0.27872358262538904,0.3544871844739343,1
112433$_$10,A,0.02886906454417234,0.05794951319694519,-0.1670777425946047,1
112433$_$10,V,0.057899075249830886,0.07776574790477753,-0.3165311626701926,1
