model,split,clean_macro_f1,missing_macro_f1,missing_mae
Final BERT8,valid,0.5778067867503204,0.5465819422179807,0.666595370441259
Final BERT8,test,0.618618260022643,0.5754693610790069,0.7215708345859393
No CLS,valid,0.5795531436235564,0.5488655510825283,0.6616475111185602
No CLS,test,0.6031432088200024,0.5664125014579002,0.7170551546974114
No corruption,valid,0.560705305334148,0.5440943523075468,0.6553215187352838
No corruption,test,0.580116549986871,0.5503546369231019,0.7172351961532869
Mean pool,valid,0.5896707489648872,0.5550856497644013,0.6657092799463891
Mean pool,test,0.6061582166402032,0.5676883171592326,0.7196873763460869
