sample_id,position,token,modality,D,delta_class,selected
18,1,-,T,0.0017570542792479198,0.00015848875045776367,False
18,1,-,A,0.000842647006114324,0.0006344318389892578,False
18,1,-,V,7.054954767227173e-05,-9.59634780883789e-05,False
18,2,and,T,0.0009276506801446279,-0.0004184246063232422,False
18,2,and,A,0.000842639555533727,0.0006344318389892578,False
18,2,and,V,7.054830590883891e-05,-9.59634780883789e-05,False
18,3,in,T,0.00046807651718457543,-0.0005862712860107422,False
18,3,in,A,0.0006578452885150909,-0.00012499094009399414,False
18,3,in,V,3.979479273160299e-05,1.5854835510253906e-05,False
18,4,denmark,T,0.00413895770907402,0.003971695899963379,False
18,4,denmark,A,0.002270463854074478,0.003185093402862549,True
18,4,denmark,V,0.00014275436600049338,0.0001831650733947754,False
18,5,-,T,0.008307654410600662,0.013083934783935547,False
18,5,-,A,0.0007829777896404266,0.001356661319732666,True
18,5,-,V,0.00018676246205965677,0.0002524256706237793,False
18,6,the,T,0.0030526903768380484,0.005690217018127441,False
18,6,the,A,0.0016625399390856424,0.0016710162162780762,True
18,6,the,V,0.00020979965726534525,0.00031507015228271484,False
18,7,first,T,0.02496713524063428,0.03671753406524658,False
18,7,first,A,0.0010996970037619274,0.0014650821685791016,False
18,7,first,V,4.552180568377177e-05,7.56978988647461e-05,False
18,8,baltic,T,0.0008023542662461599,-0.00014919042587280273,False
18,8,baltic,A,0.0003856507440408071,0.00033205747604370117,False
18,8,baltic,V,4.628921548525493e-05,-3.5881996154785156e-05,False
18,9,cod,T,0.010067588339249292,0.015704691410064697,False
18,9,cod,A,0.0002118237316608429,-0.00030410289764404297,False
18,9,cod,V,4.119301835695903e-05,-3.725290298461914e-05,False
18,10,fishery,T,0.005433235317468643,0.010601997375488281,False
18,10,fishery,A,0.00025807445247968036,0.0004004836082458496,False
18,10,fishery,V,2.7404477198918663e-05,-2.866983413696289e-05,False
18,11,has,T,0.009334170569976171,0.015269696712493896,False
18,11,has,A,0.00015767787893613178,7.37309455871582e-05,False
18,11,has,V,4.0696312983830765e-05,-3.6597251892089844e-05,False
18,12,been,T,0.0013522418836752574,0.00237429141998291,False
18,12,been,A,0.0005038529634475708,-0.0007953643798828125,False
18,12,been,V,4.18114165465037e-05,7.522106170654297e-05,False
18,13,msc,T,0.02648915226260821,0.041433632373809814,True
18,13,msc,A,0.0004516132175922394,-0.00043386220932006836,False
18,13,msc,V,2.3907671372095745e-05,3.927946090698242e-05,False
18,14,–,T,0.016904837141434353,0.02369225025177002,True
18,14,–,A,0.00014697139461835224,-8.404254913330078e-05,False
18,14,–,V,2.68593430519104e-05,4.214048385620117e-05,False
18,15,certified,T,0.006713592757781347,0.006878256797790527,True
18,15,certified,A,0.0007792972028255463,-0.0006885528564453125,False
18,15,certified,V,0.00017593801021575928,0.00022917985916137695,False
18,16,-,T,0.0028035230934619904,0.0019276142120361328,True
18,16,-,A,0.0007069781422615051,-0.0006349682807922363,False
18,16,-,V,0.00014675408601760864,0.00022423267364501953,False
18,17,meanwhile,T,0.023334477096796036,-0.032041966915130615,True
18,17,meanwhile,A,0.0007069793840249379,-0.0006349682807922363,False
18,17,meanwhile,V,0.00014674787720044455,0.00022423267364501953,False
18,18,",",T,0.00850268080830574,-0.01189720630645752,True
18,18,",",A,0.0007069781422615051,-0.0006349682807922363,False
18,18,",",V,0.00014675408601760864,0.00022423267364501953,False
18,19,the,T,0.0061322761078675585,-0.008510231971740723,False
18,19,the,A,0.0009900964796543121,-0.0011176466941833496,False
18,19,the,V,2.5189171234766643e-05,6.258487701416016e-06,False
18,20,fae,T,0.003666471689939499,0.0053182244300842285,False
18,20,fae,A,0.0011707134544849396,-0.0008928775787353516,True
18,20,fae,V,0.00012992322444915771,0.00014066696166992188,False
18,21,##ro,T,0.004157072554032008,0.006785154342651367,False
18,21,##ro,A,0.0011707134544849396,-0.0008928775787353516,True
18,21,##ro,V,0.00012992198268572489,0.00014066696166992188,False
18,22,##ese,T,0.0019486621022224426,-0.0017473101615905762,False
18,22,##ese,A,0.001170717179775238,-0.0008928775787353516,True
18,22,##ese,V,0.00012992446621259054,0.00014066696166992188,False
18,23,mack,T,0.014211782564719517,0.020349323749542236,False
18,23,mack,A,0.0013907390336195629,-0.0019387006759643555,True
18,23,mack,V,0.00032368178168932593,-0.00033468008041381836,False
18,24,##ere,T,0.0029289113978544874,0.0030502676963806152,False
18,24,##ere,A,0.0013907390336195629,-0.0019387006759643555,True
18,24,##ere,V,0.00032368178168932593,-0.00033468008041381836,True
18,25,##l,T,0.0022512227296829224,-0.0031616687774658203,False
18,25,##l,A,0.00139073779185613,-0.0019387006759643555,True
18,25,##l,V,0.00032368426521619165,-0.00033468008041381836,True
18,26,fishery,T,0.0010702249904473624,0.00021952390670776367,False
18,26,fishery,A,0.0006671485801537831,-0.0007242560386657715,False
18,26,fishery,V,0.000567233810822169,-0.0007867813110351562,True
18,27,has,T,0.00927184025446574,-0.0102769136428833,True
18,27,has,A,0.0005506612360477448,-0.0005800127983093262,False
18,27,has,V,0.000637580951054891,-0.0008171200752258301,True
18,28,been,T,0.019500752290089924,-0.026038289070129395,True
18,28,been,A,0.00012154628833134969,-5.930662155151367e-05,False
18,28,been,V,0.0006287011007467905,-0.000886082649230957,True
18,29,denied,T,0.035076062505443886,-0.03511232137680054,True
18,29,denied,A,0.0003282129764556885,-0.0005863308906555176,False
18,29,denied,V,0.000723816454410553,-0.0009517669677734375,True
18,30,msc,T,0.0038263487319151563,0.0047563910484313965,False
18,30,msc,A,0.00010173891981442769,-5.8710575103759766e-05,False
18,30,msc,V,0.00025882944464683533,-0.0002352595329284668,False
18,31,certification,T,0.004657164216041565,0.007767617702484131,False
18,31,certification,A,0.00029088184237480164,-0.0005733966827392578,False
18,31,certification,V,8.507569630940755e-05,-4.7326087951660156e-05,False
18,32,based,T,0.0022210838894049325,0.0042147040367126465,False
18,32,based,A,0.000925323615471522,-0.0016041398048400879,False
18,32,based,V,4.6006093422571816e-05,2.2590160369873047e-05,False
18,33,on,T,0.002481181174516678,0.003342747688293457,False
18,33,on,A,0.00019928812980651855,0.0003160238265991211,False
18,33,on,V,8.962551752726236e-05,-7.045269012451172e-05,False
18,34,the,T,0.0012506631513436635,0.0022063255310058594,False
18,34,the,A,0.00023403018712997437,-0.00042235851287841797,False
18,34,the,V,0.00013017778595288593,0.00012809038162231445,False
18,35,fact,T,0.002946004271507263,-0.00273895263671875,False
18,35,fact,A,0.0005061589181423187,0.0003750324249267578,False
18,35,fact,V,2.0482887824376426e-05,2.104043960571289e-05,False
18,36,that,T,0.012583035975694656,0.01830315589904785,False
18,36,that,A,0.0003932279845078786,-0.0001481175422668457,False
18,36,that,V,0.00018567467729250592,-0.00023406744003295898,False
18,37,the,T,0.0021321537594000497,0.0036908388137817383,False
18,37,the,A,0.0003465476135412852,-4.035234451293945e-05,False
18,37,the,V,0.00022393092513084412,-0.0003126859664916992,False
18,38,fishery,T,0.004303358495235443,0.007802188396453857,False
18,38,fishery,A,0.0007424391806125641,0.0006520748138427734,False
18,38,fishery,V,7.819384336471558e-05,-0.00011402368545532227,False
18,39,has,T,0.0037329557041327157,-0.00739741325378418,False
18,39,has,A,0.00035771603385607403,0.00021278858184814453,False
18,39,has,V,2.5082379579544067e-05,4.0411949157714844e-05,False
18,40,failed,T,0.033139973878860474,-0.04764479398727417,True
18,40,failed,A,0.0008788332343101501,0.0010859370231628418,False
18,40,failed,V,0.0002327499290307363,0.00034993886947631836,False
18,41,to,T,0.005435132731993993,-0.007544279098510742,False
18,41,to,A,0.0011807742218176525,0.0014628171920776367,False
18,41,to,V,0.00027619923154513043,0.0004131793975830078,False
18,42,reach,T,0.0022926939030488334,-0.0031081438064575195,False
18,42,reach,A,0.0011205151677131653,0.002015531063079834,False
18,42,reach,V,0.00021627421180407205,0.0003255009651184082,False
18,43,an,T,0.004934093604485194,-0.00673520565032959,False
18,43,an,A,0.0006215497851371765,0.0007908940315246582,False
18,43,an,V,0.00016227240363756815,0.00023299455642700195,False
18,44,agreement,T,0.013914622366428375,0.017623424530029297,False
18,44,agreement,A,0.0007046895722548167,0.0010679960250854492,False
18,44,agreement,V,0.0002651028335094452,0.00031876564025878906,False
18,45,on,T,0.009410501768191656,-0.013248801231384277,False
18,45,on,A,0.0013727309803167977,-0.0012802481651306152,True
18,45,on,V,0.00037740543484687805,0.00023663043975830078,True
18,46,mack,T,0.01099790632724762,0.01612335443496704,False
18,46,mack,A,0.0008127304414908092,0.0008002519607543945,False
18,46,mack,V,0.0004335083067417145,0.00043314695358276367,True
18,47,##ere,T,0.0027468490103880563,-0.004723787307739258,False
18,47,##ere,A,0.0008127279579639435,0.0008002519607543945,False
18,47,##ere,V,0.000433504581451416,0.00043314695358276367,True
18,48,##l,T,0.008568658183018366,-0.012909412384033203,False
18,48,##l,A,0.0008127316832542419,0.0008002519607543945,False
18,48,##l,V,0.00043350333968798316,0.00043314695358276367,True
