selection,subset,n,clusters,mean,ci_low,ci_high,excluded
key.A.p20.block3,All historical,728,239,0.00011488225526335264,-0.00023259391704026752,0.0004596211833649599,0
key.A.p20.block3,Equal cost,706,238,0.0003317481742610564,1.1977497981658045e-05,0.0006704017841807044,22
key.T.p20.block3,All historical,728,239,-0.0368710753981569,-0.0455754740999418,-0.02790340387290275,0
key.T.p20.block3,Equal cost,706,238,-0.032072508806359236,-0.0408877171593767,-0.023840135308451364,22
key.T.p20.word,All historical,728,239,0.0011353894535451282,-0.003729080794281481,0.00556637812905097,0
key.T.p20.word,Equal cost,728,239,0.0011353894535451282,-0.003729080794281481,0.00556637812905097,0
key.V.p20.block3,All historical,713,233,-0.0008044676596986524,-0.001076880841273738,-0.0005240052555373728,0
key.V.p20.block3,Equal cost,687,232,-0.0006449798160655799,-0.0009149387470847698,-0.000384716673647576,26
