sample_id,video_id,official_clip_id,candidate_sample_id,candidate_clip_id,whisper_token_original_score,whisper_token_candidate_score,ctc_token_original_score,ctc_token_candidate_score,character_original_score,character_candidate_score,whisper_char_original_score,whisper_char_candidate_score,ctc_char_original_score,ctc_char_candidate_score,whisper_ctc_token_f1,hungarian_whisper_candidate,hungarian_ctc_candidate,hungarian_whisper_char_candidate,hungarian_ctc_char_candidate,cross_metric_agreement,global_true_rank,global_candidate_rank,mapping_status,reason
-iRBcNs9oI8$_$3,-iRBcNs9oI8,3,-iRBcNs9oI8$_$7,7,0.0909090909090909,0.2105263157894737,0.0909090909090909,0.2105263157894737,0.2313893653516294,0.3607046070460704,0.2363636363636363,0.3555555555555555,0.2264150943396226,0.3658536585365853,0.8571428571428571,-iRBcNs9oI8$_$8,-iRBcNs9oI8$_$8,-iRBcNs9oI8$_$7,-iRBcNs9oI8$_$7,0.5,28,2,MAPPING_WEAK,ASR_token_assignments_disagree
-iRBcNs9oI8$_$6,-iRBcNs9oI8,6,-iRBcNs9oI8$_$9,9,0.0,0.5,0.0,0.5,0.1891891891891891,0.5625,0.1891891891891891,0.5625,0.1891891891891891,0.5625,1.0,-iRBcNs9oI8$_$9,-iRBcNs9oI8$_$9,-iRBcNs9oI8$_$9,-iRBcNs9oI8$_$9,1.0,48,1,MAPPING_STRONG,independent_ASRs_and_metrics_support_same_off_diagonal_mapping
-mJ2ud6oKI8$_$1,-mJ2ud6oKI8,1,-mJ2ud6oKI8$_$8,8,0.0,0.1538461538461538,0.0,0.1481481481481481,0.0,0.1783094098883573,0.0,0.1929824561403509,0.0,0.1636363636363637,0.0,-mJ2ud6oKI8$_$8,-mJ2ud6oKI8$_$8,-mJ2ud6oKI8$_$9,-mJ2ud6oKI8$_$6,0.5,98,31,MAPPING_UNRESOLVED,assignments_unstable_or_absolute_similarity_too_low
-ri04Z7vwnc$_$2,-ri04Z7vwnc,2,-ri04Z7vwnc$_$5,5,0.0,0.1428571428571428,0.0,0.1290322580645161,0.13125,0.2875,0.1125,0.275,0.15,0.3,0.5714285714285715,-ri04Z7vwnc$_$5,-ri04Z7vwnc$_$5,-ri04Z7vwnc$_$5,-ri04Z7vwnc$_$5,1.0,95,2,MAPPING_UNRESOLVED,assignments_unstable_or_absolute_similarity_too_low
