sample_id,video_id,position,modality,D,delta_class,delta_score
-UacrmKiTn4$_$7,-UacrmKiTn4,1,T,0.002431174119313558,-0.0038909912109375,-0.005828142166137695
-UacrmKiTn4$_$7,-UacrmKiTn4,1,A,0.0013565421104431152,0.0022363662719726562,0.0028603076934814453
-UacrmKiTn4$_$7,-UacrmKiTn4,1,V,0.0013160804907480876,0.0018039345741271973,0.004969358444213867
-UacrmKiTn4$_$7,-UacrmKiTn4,2,T,0.011349841952323914,-0.009935498237609863,-0.07658511400222778
-UacrmKiTn4$_$7,-UacrmKiTn4,2,A,0.00036735832691192627,0.00041997432708740234,0.0018884539604187012
-UacrmKiTn4$_$7,-UacrmKiTn4,2,V,0.0004063347975413005,0.0007849335670471191,0.00016641616821289062
-UacrmKiTn4$_$7,-UacrmKiTn4,3,T,0.00477294127146403,0.00628429651260376,0.0195695161819458
-UacrmKiTn4$_$7,-UacrmKiTn4,3,A,0.0009721517562866211,0.0014415979385375977,0.003016233444213867
-UacrmKiTn4$_$7,-UacrmKiTn4,3,V,0.00023971498012542725,0.0003077387809753418,0.0010301470756530762
-UacrmKiTn4$_$7,-UacrmKiTn4,4,T,0.0003473808368047079,0.0002866983413696289,0.0024483799934387207
-UacrmKiTn4$_$7,-UacrmKiTn4,4,A,0.001261244217554728,-0.0008947849273681641,-0.009766221046447754
-UacrmKiTn4$_$7,-UacrmKiTn4,4,V,0.0007815957069396973,0.0006443262100219727,0.005513191223144531
-UacrmKiTn4$_$7,-UacrmKiTn4,5,T,0.0032004614671071368,-0.0040801167488098145,-0.013924837112426758
-UacrmKiTn4$_$7,-UacrmKiTn4,5,A,0.00028883417447408044,-0.0001627206802368164,-0.0024896860122680664
-UacrmKiTn4$_$7,-UacrmKiTn4,5,V,0.0005634874105453491,0.0005115866661071777,0.003692328929901123
-UacrmKiTn4$_$7,-UacrmKiTn4,6,T,0.010237937172253927,0.013976871967315674,0.038994014263153076
-UacrmKiTn4$_$7,-UacrmKiTn4,6,A,0.0009607970714569092,4.6372413635253906e-05,0.011251330375671387
-UacrmKiTn4$_$7,-UacrmKiTn4,6,V,0.00036383668581644696,-2.002716064453125e-05,0.004245877265930176
-UacrmKiTn4$_$7,-UacrmKiTn4,7,T,0.0013172229131062827,-0.001418769359588623,-0.007294058799743652
-UacrmKiTn4$_$7,-UacrmKiTn4,7,A,0.000933403770128886,0.0013724565505981445,0.0029661059379577637
-UacrmKiTn4$_$7,-UacrmKiTn4,7,V,0.0005320111910502117,-0.00038689374923706055,-0.004062771797180176
-UacrmKiTn4$_$7,-UacrmKiTn4,8,T,0.004324734210968018,0.0049852728843688965,0.021985173225402832
-UacrmKiTn4$_$7,-UacrmKiTn4,8,A,0.0011211087306340537,-0.0006388425827026367,0.009620249271392822
-UacrmKiTn4$_$7,-UacrmKiTn4,8,V,0.001160492499669393,0.0005150437355041504,-0.010835647583007812
-UacrmKiTn4$_$7,-UacrmKiTn4,9,T,0.00270785391330719,-0.002988874912261963,-0.014560997486114502
-UacrmKiTn4$_$7,-UacrmKiTn4,9,A,0.0010266005992889404,-0.0011023283004760742,0.00570523738861084
-UacrmKiTn4$_$7,-UacrmKiTn4,9,V,0.00011615455150604248,6.449222564697266e-05,0.0010069012641906738
-UacrmKiTn4$_$7,-UacrmKiTn4,10,T,0.004933600624402364,-0.005979001522064209,-0.023329198360443115
-UacrmKiTn4$_$7,-UacrmKiTn4,10,A,0.0009343326091766357,-0.0007137656211853027,0.0069293975830078125
-UacrmKiTn4$_$7,-UacrmKiTn4,10,V,0.0003085881471633911,8.469820022583008e-05,0.003194868564605713
-UacrmKiTn4$_$7,-UacrmKiTn4,11,T,0.005914489428202311,0.00742030143737793,0.026452064514160156
-UacrmKiTn4$_$7,-UacrmKiTn4,11,A,0.0003475993871688843,-0.0005562901496887207,0.0008334517478942871
-UacrmKiTn4$_$7,-UacrmKiTn4,11,V,0.0004881322383880615,-0.00039696693420410156,0.003475785255432129
-UacrmKiTn4$_$7,-UacrmKiTn4,12,T,0.0034767091274261475,-0.0041193366050720215,-0.01700448989868164
-UacrmKiTn4$_$7,-UacrmKiTn4,12,A,0.0003475993871688843,-0.0005562901496887207,0.0008334517478942871
-UacrmKiTn4$_$7,-UacrmKiTn4,12,V,0.0004881372054417928,-0.00039696693420410156,0.0034758448600769043
-UacrmKiTn4$_$7,-UacrmKiTn4,13,T,0.01750849684079488,-0.022815406322479248,-0.07320952415466309
-UacrmKiTn4$_$7,-UacrmKiTn4,13,A,0.0009616265694300333,0.0008234977722167969,0.006598532199859619
-UacrmKiTn4$_$7,-UacrmKiTn4,13,V,0.0003789961338043213,-0.00043952465057373047,0.0019108057022094727
