sample_id,original_group,current_paired_use,original_ta_issue,original_identity_issue,original_no_face,ctc_diagnostic_wer,ctc_accepted_word_fraction,whisperx_status,whisperx_wer,whisperx_cer,whisperx_word_overlap_f1,ctc_whisperx_common_word_coverage,ctc_whisperx_median_midpoint_difference_s,ctc_whisperx_p90_midpoint_difference_s,permutation_true_similarity,permutation_negative_p95,permutation_true_rank,permutation_empirical_percentile,ta_evidence_level,mfa_status,mfa_alignment_success,mfa_aligned_word_fraction,arcface_episode_count,arcface_valid_embedding_episode_count,arcface_identity_cluster_count_0_60,arcface_partition_stable_0_50_0_60_0_70,arcface_simultaneous_different_clusters,av_sync_real_score,av_sync_null_median,av_sync_null_p95,av_sync_empirical_percentile,av_sync_top1_top2_margin,talknet_status,talknet_logit,talknet_speaking_frame_fraction,talknet_selected_valid_episode_count,talknet_selected_frame_count,text_audio_candidate_status,vision_candidate_status,trimodal_candidate_status,text_audio_status,vision_status,trimodal_status,vision_evidence_level,releasable_visual_time_ratio,masked_visual_time_ratio,evidence_reason
-THoVjtIkeU$_$6,identity_only,0,0,1,0,0.13333333333333333,0.9333333333333333,ok,0.13333333333333333,0.07563025210084033,0.9491525423728815,0.9,0.18501297883064494,0.2684634072580643,0.8666666666666667,0.06896551724137934,1,1.0,TA_STRONG,skipped_optional_high_cost,,,5,5,1,0,0,-0.034710379743359915,0.09856040373651395,0.2564294179479002,0.15384615384615385,,completed_with_explicit_short_episode_gaps,0.727977991104126,0.8177083333333334,1,192,verified,uncertain,uncertain,verified,uncertain,uncertain,V_UNCERTAIN,0.0,1.0,"WhisperX semantics, negative controls, CTC coverage, and word timing agree; ArcFace partition or AV-sync does not uniquely bind the target identity"
-UuX1xuaiiE$_$0,identity_only,0,0,1,0,0.2222222222222222,0.8888888888888888,ok,0.1111111111111111,0.08695652173913043,0.9411764705882353,0.8888888888888888,0.1842643581081082,0.2148918355855857,0.8888888888888888,0.09261363636363641,1,1.0,TA_STRONG,skipped_optional_high_cost,,,5,5,5,1,1,0.5155786212963438,0.41864069646909036,0.7320983424142414,0.64,0.16981229839856904,completed_with_explicit_short_episode_gaps,-3.0495808124542236,0.0,1,41,verified,uncertain,uncertain,verified,uncertain,uncertain,V_UNCERTAIN,0.0,1.0,"WhisperX semantics, negative controls, CTC coverage, and word timing agree; ArcFace partition or AV-sync does not uniquely bind the target identity"
-UuX1xuaiiE$_$1,identity_only,0,0,1,0,0.2962962962962963,0.8518518518518519,ok,0.0,0.0,1.0,0.8518518518518519,0.216679687500001,0.37231484374999996,1.0,0.07407407407407407,1,1.0,TA_STRONG,skipped_optional_high_cost,,,9,9,9,1,1,0.32082159088178025,0.0579206858089466,0.42150525709907843,0.9230769230769231,0.07116172200531487,completed_with_explicit_short_episode_gaps,-3.082228899002075,0.0,1,103,verified,uncertain,partial,verified,uncertain,partial,V_PARTIAL,0.3387096774193536,0.6612903225806464,"WhisperX semantics, negative controls, CTC coverage, and word timing agree; only the top AV-supported ArcFace identity cluster is a usable candidate"
-UuX1xuaiiE$_$3,identity_only,0,0,1,0,0.4444444444444444,1.0,ok,0.0,0.0,1.0,1.0,0.22681599999999996,0.27835904999999994,1.0,0.10055555555555555,1,1.0,TA_STRONG,skipped_optional_high_cost,,,3,3,2,1,0,0.509230165476052,0.5981718596247453,0.8959346977889011,0.30434782608695654,0.5961754408095045,completed_with_explicit_short_episode_gaps,-1.137416124343872,0.0,1,5,verified,uncertain,uncertain,verified,uncertain,uncertain,V_UNCERTAIN,0.0,1.0,"WhisperX semantics, negative controls, CTC coverage, and word timing agree; ArcFace partition or AV-sync does not uniquely bind the target identity"
-UuX1xuaiiE$_$6,identity_only,0,0,1,0,0.45454545454545453,1.0,ok,0.09090909090909091,0.0,0.9333333333333332,0.9545454545454546,0.15360197368421025,0.29153947368421074,0.9130434782608696,0.08695652173913049,1,1.0,TA_STRONG,skipped_optional_high_cost,,,2,2,1,1,0,-0.015376448295014715,0.012061925662436145,0.14463517375661994,0.38461538461538464,,completed_with_explicit_short_episode_gaps,-0.45773400698301087,0.27461139896373055,2,193,verified,uncertain,uncertain,verified,uncertain,uncertain,V_UNCERTAIN,0.0,1.0,"WhisperX semantics, negative controls, CTC coverage, and word timing agree; ArcFace partition or AV-sync does not uniquely bind the target identity"
-aqamKhZ1Ec$_$0,text_audio_only_single_episode,0,1,0,0,1.0714285714285714,0.9285714285714286,ok,0.14285714285714285,0.09722222222222222,0.896551724137931,0.8571428571428571,0.25513730641592913,0.45918557798672593,0.8666666666666667,0.06666666666666665,1,1.0,TA_SEMANTIC_ONLY,skipped_optional_high_cost,,,1,1,1,1,0,0.08387735861844778,0.04882738899891499,0.19719237914841767,0.5769230769230769,,completed_with_explicit_short_episode_gaps,-2.2112491130828857,0.0,1,272,timing_partial,verified,partial,timing_partial,verified,partial,V_STRONG,0.8303030303030273,0.16969696969697268,"WhisperX and negative controls support the official text, but CTC coverage or timing is partial; single-episode frozen baseline has no identity ambiguity"
-dxfTGcXJoc$_$1,identity_only,0,0,1,0,0.08333333333333333,1.0,ok,0.05405405405405406,0.005208333333333333,0.9589041095890412,0.9722222222222222,0.23961031249999998,0.35098243749999886,0.9459459459459459,0.08381782945736438,1,1.0,TA_STRONG,skipped_optional_high_cost,,,2,2,1,1,0,0.37899125486059704,0.116778583927091,0.2721753037143085,1.0,,completed_with_explicit_short_episode_gaps,1.077022910118103,0.9275,1,400,verified,verified,verified,verified,verified,verified,V_STRONG,0.8305785123966911,0.16942148760330888,"WhisperX semantics, negative controls, CTC coverage, and word timing agree; ArcFace merges all episodes stably and AV-sync exceeds frozen strong null threshold"
-dxfTGcXJoc$_$6,identity_only,0,0,1,0,0.10714285714285714,1.0,ok,0.06896551724137931,0.006289308176100629,0.9473684210526316,0.8888888888888888,0.22344261579949187,0.32807692734771426,0.9310344827586207,0.0732142857142857,1,1.0,TA_STRONG,skipped_optional_high_cost,,,2,2,1,1,0,0.15745039106890923,0.12195469483395491,0.24788022136164856,0.6538461538461539,,completed_with_explicit_short_episode_gaps,1.0747735924445665,0.9262820512820513,2,312,verified,uncertain,uncertain,verified,uncertain,uncertain,V_UNCERTAIN,0.0,1.0,"WhisperX semantics, negative controls, CTC coverage, and word timing agree; ArcFace partition or AV-sync does not uniquely bind the target identity"
-hnBHBN8p5A$_$6,identity_and_text_audio,0,1,1,0,0.9230769230769231,0.7692307692307693,ok,0.9230769230769231,0.7746478873239436,0.23076923076923078,0.07692307692307693,2.059107392131979,2.059107392131979,0.07692307692307687,0.0625,1,1.0,TA_CONFLICT,skipped_optional_high_cost,,,7,5,4,0,0,0.7257898543662642,0.6191064774571511,0.7257925402379564,0.92,0.7433365863519907,completed_with_explicit_short_episode_gaps,-0.9964653452237447,0.0,2,6,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,V_UNCERTAIN,0.0,1.0,CTC and WhisperX/negative-control evidence do not establish the official pairing; ArcFace partition or AV-sync does not uniquely bind the target identity
-hnBHBN8p5A$_$7,identity_and_text_audio,0,1,1,0,1.2307692307692308,0.6923076923076923,ok,1.2142857142857142,0.9365079365079365,0.0,0.0,,,0.0,0.06143790849673208,10,0.275,TA_CONFLICT,skipped_optional_high_cost,,,7,6,4,0,0,0.6437908441537187,0.5884902882143456,0.8402035007018952,0.6,0.3705218598267282,completed_with_explicit_short_episode_gaps,-1.4714629650115967,0.0,1,15,uncertain,uncertain,uncertain,uncertain,uncertain,uncertain,V_UNCERTAIN,0.0,1.0,CTC and WhisperX/negative-control evidence do not establish the official pairing; ArcFace partition or AV-sync does not uniquely bind the target identity
