video_id,official_sample_id,audio_sample_id,is_diagonal,wer,cer,token_precision,token_recall,token_f1,character_similarity,score
-3g5yACwYnA,-3g5yACwYnA$_$13,-3g5yACwYnA$_$13,1,0.2,0.12307692307692308,0.8333333333333334,1.0,0.9090909090909091,0.8904109589041096,0.8997509339975094
-3g5yACwYnA,-3g5yACwYnA$_$13,-3g5yACwYnA$_$2,0,1.0,0.9384615384615385,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.24691358024691357,0.1567901234567901
-3g5yACwYnA,-3g5yACwYnA$_$13,-3g5yACwYnA$_$3,0,1.8666666666666667,1.676923076923077,0.10344827586206896,0.2,0.13636363636363635,0.23239436619718312,0.18437900128040974
-3g5yACwYnA,-3g5yACwYnA$_$13,-3g5yACwYnA$_$9,0,1.5333333333333334,1.3692307692307693,0.043478260869565216,0.06666666666666667,0.052631578947368425,0.2192982456140351,0.13596491228070176
-3g5yACwYnA,-3g5yACwYnA$_$2,-3g5yACwYnA$_$13,0,1.2142857142857142,0.8450704225352113,0.16666666666666666,0.21428571428571427,0.1875,0.17808219178082196,0.18279109589041098
-3g5yACwYnA,-3g5yACwYnA$_$2,-3g5yACwYnA$_$2,1,0.07142857142857142,0.14084507042253522,0.9333333333333333,1.0,0.9655172413793104,0.8765432098765432,0.9210302256279268
-3g5yACwYnA,-3g5yACwYnA$_$2,-3g5yACwYnA$_$3,0,1.7142857142857142,1.5211267605633803,0.27586206896551724,0.5714285714285714,0.37209302325581395,0.23943661971830987,0.3057648214870619
-3g5yACwYnA,-3g5yACwYnA$_$2,-3g5yACwYnA$_$9,0,1.6428571428571428,1.2394366197183098,0.08695652173913043,0.14285714285714285,0.1081081081081081,0.22807017543859653,0.16808914177335232
-3g5yACwYnA,-3g5yACwYnA$_$3,-3g5yACwYnA$_$13,0,0.9655172413793104,0.7464788732394366,0.2777777777777778,0.1724137931034483,0.21276595744680854,0.2535211267605634,0.23314354210368596
-3g5yACwYnA,-3g5yACwYnA$_$3,-3g5yACwYnA$_$2,0,0.8620689655172413,0.7323943661971831,0.5333333333333333,0.27586206896551724,0.36363636363636365,0.2676056338028169,0.31562099871959026
-3g5yACwYnA,-3g5yACwYnA$_$3,-3g5yACwYnA$_$3,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0
-3g5yACwYnA,-3g5yACwYnA$_$3,-3g5yACwYnA$_$9,0,0.9655172413793104,0.7183098591549296,0.2608695652173913,0.20689655172413793,0.23076923076923075,0.2816901408450704,0.25622968580715055
