sample_id,semantic_pairing_status,semantic_reason,temporal_alignment_status,temporal_reason,forced_alignment_status,forced_alignment_coverage,common_word_count,common_word_fraction,start_median,end_median,midpoint_median,midpoint_p90,max_error,CTC_coverage,new_alignment_coverage,conflict_cause,visual_candidate_status,verified_visual_duration,ambiguous_duration,missing_duration,usable_fraction
-HwX2H8Z4hY$_$6,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,7,1.0,0.29924752475247507,0.23938613861386138,0.2714158415841584,0.3427891089108912,0.6333069306930694,1.0,1.0,unresolved_algorithmic_or_content_conflict,unresolved,0,2.083333333333333,1.25,0.0
-HwX2H8Z4hY$_$9,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,22,1.0,0.19672859768907558,0.1589113707983194,0.22232681197478965,0.318298398109244,0.591550682773109,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,1.9833333333333334,4.25,1.5,0.25646551724137934
-I_e4mIh0yE$_$1,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,18,1.0,0.30799353448275935,0.2338750673491381,0.2881656452047415,0.5358819369612069,0.7182403017241379,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,5.25,2.25,0.09999999999999964,0.6907894736842105
-I_e4mIh0yE$_$3,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,PARTIAL,official_text_has_reliable_partial_times_but_time_agreement_is_below_VERIFIED,ok,1.0,22,1.0,0.31006919642857156,0.23197991071428659,0.28543024553571494,1.3276121651785713,1.8538828124999995,1.0,1.0,unresolved_algorithmic_or_content_conflict,fully_verified,8.5,0.6333333333333329,0,0.9306569343065694
-MeTTeMJBNc$_$0,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,21,1.0,0.3302468423344944,0.2185295078397207,0.29712597996515666,0.41212429224738667,0.6296541811846694,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,1.25,8.083333333333334,0,0.13392857142857142
-MeTTeMJBNc$_$13,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,14,1.0,0.23723773006134974,0.21673773006134978,0.25367868098159513,0.4020726226993868,0.6580076687116567,1.0,1.0,unresolved_algorithmic_or_content_conflict,unresolved,0,5.3999999999999995,0,0.0
-MeTTeMJBNc$_$7,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,31,1.0,0.27366232638889,0.2082404513888907,0.280403645833335,0.43604991319444464,0.7364904513888897,1.0,1.0,unresolved_algorithmic_or_content_conflict,unresolved,0,10.5,0,0.0
-NFrJFQijFE$_$1,CONFLICT,global_retrieval_prefers_other_audio,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,5,0.3125,0.41125319602272725,0.5307801846590907,0.471016690340909,1.304261257102273,1.5542176846590903,0.3125,1.0,ASR_unstable,missing,0,0,5.720000000000001,0.0
-NFrJFQijFE$_$2,CONFLICT,CTC_and_WhisperX_agree_but_both_conflict_with_official,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,9,0.5,0.5782439903846157,0.7111594050480763,0.759252554086538,2.318402493990385,2.5173093449519235,0.5,1.0,two_ASRs_agree_but_both_conflict_with_official,missing,0,0,6.840000000000001,0.0
-RfYyzHpjk4$_$11,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,17,1.0,0.2568785601265824,0.23410007911392405,0.24352017405063298,0.279315268987342,0.35493235759493746,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,2.0,3.2333333333333334,0,0.38216560509554137
-RfYyzHpjk4$_$2,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,25,1.0,0.17424307634730551,0.13637593562874217,0.15434449850299403,0.21701979790419149,0.3676416541916172,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,1.5,4.0,0,0.2727272727272727
-RfYyzHpjk4$_$8,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,17,1.0,0.19707845744680874,0.17141356382978734,0.16803501773049634,0.24730678191489366,0.3398931737588653,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,1.3166666666666664,3.25,0,0.28832116788321166
-THoVjtIkeU$_$12,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,39,1.0,0.2174210633116882,0.16964306006493524,0.2364529220779219,0.3759372767857139,0.7095152191558434,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,4.0,10.866666666666667,0,0.26905829596412556
-THoVjtIkeU$_$2,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,10,1.0,0.28313358778625963,0.25048759541984733,0.25288358778625936,0.34371156965648836,0.5503167938931297,1.0,1.0,unresolved_algorithmic_or_content_conflict,partially_verified,2.0,2.2666666666666666,0,0.46875
