sample_id,diagonal_score,row_best_sample_id,row_best_score,row_best_minus_diagonal,hungarian_sample_id,hungarian_score,mapping_suspected,video_id
-UuX1xuaiiE$_$3,1.0,-UuX1xuaiiE$_$3,1.0,0.0,-UuX1xuaiiE$_$3,1.0,0,-UuX1xuaiiE
-UuX1xuaiiE$_$6,0.9666666666666666,-UuX1xuaiiE$_$6,0.9666666666666666,0.0,-UuX1xuaiiE$_$6,0.9666666666666666,0,-UuX1xuaiiE
-a55Q6RWvTA$_$3,0.977010821877742,-a55Q6RWvTA$_$3,0.977010821877742,0.0,-a55Q6RWvTA$_$3,0.977010821877742,0,-a55Q6RWvTA
-aNfi7CP8vM$_$7,1.0,-aNfi7CP8vM$_$7,1.0,0.0,-aNfi7CP8vM$_$7,1.0,0,-aNfi7CP8vM
-aqamKhZ1Ec$_$0,0.9016091954022989,-aqamKhZ1Ec$_$0,0.9016091954022989,0.0,-aqamKhZ1Ec$_$0,0.9016091954022989,0,-aqamKhZ1Ec
-dxfTGcXJoc$_$0,0.9823529411764707,-dxfTGcXJoc$_$0,0.9823529411764707,0.0,-dxfTGcXJoc$_$0,0.9823529411764707,0,-dxfTGcXJoc
-dxfTGcXJoc$_$1,0.976861381219391,-dxfTGcXJoc$_$1,0.976861381219391,0.0,-dxfTGcXJoc$_$1,0.976861381219391,0,-dxfTGcXJoc
-dxfTGcXJoc$_$2,0.9782608695652174,-dxfTGcXJoc$_$2,0.9782608695652174,0.0,-dxfTGcXJoc$_$2,0.9782608695652174,0,-dxfTGcXJoc
-dxfTGcXJoc$_$6,0.9705592105263159,-dxfTGcXJoc$_$6,0.9705592105263159,0.0,-dxfTGcXJoc$_$6,0.9705592105263159,0,-dxfTGcXJoc
-egA8-b7-3M$_$1,0.9689369535204786,-egA8-b7-3M$_$1,0.9689369535204786,0.0,-egA8-b7-3M$_$1,0.9689369535204786,0,-egA8-b7-3M
-egA8-b7-3M$_$13,1.0,-egA8-b7-3M$_$13,1.0,0.0,-egA8-b7-3M$_$13,1.0,0,-egA8-b7-3M
-egA8-b7-3M$_$16,1.0,-egA8-b7-3M$_$16,1.0,0.0,-egA8-b7-3M$_$16,1.0,0,-egA8-b7-3M
-egA8-b7-3M$_$17,1.0,-egA8-b7-3M$_$17,1.0,0.0,-egA8-b7-3M$_$17,1.0,0,-egA8-b7-3M
-egA8-b7-3M$_$18,1.0,-egA8-b7-3M$_$18,1.0,0.0,-egA8-b7-3M$_$18,1.0,0,-egA8-b7-3M
-egA8-b7-3M$_$20,1.0,-egA8-b7-3M$_$20,1.0,0.0,-egA8-b7-3M$_$20,1.0,0,-egA8-b7-3M
-egA8-b7-3M$_$26,1.0,-egA8-b7-3M$_$26,1.0,0.0,-egA8-b7-3M$_$26,1.0,0,-egA8-b7-3M
-egA8-b7-3M$_$6,1.0,-egA8-b7-3M$_$6,1.0,0.0,-egA8-b7-3M$_$6,1.0,0,-egA8-b7-3M
-egA8-b7-3M$_$9,1.0,-egA8-b7-3M$_$9,1.0,0.0,-egA8-b7-3M$_$9,1.0,0,-egA8-b7-3M
